"mixed	29237:11368:3241:445
pickles"	32834:11412:3907:416
sunday	47752:14043:1931:356 40470:11234:2619:356
$1.25	47952:11323:2419:668
in	32678:22335:466:282 35098:14221:466:267 56632:11383:421:208
w	58519:11368:488:222 27084:28398:399:282
°	59074:11442:199:148
rld	59318:11353:643:237
-	60007:11516:111:74
seven	28682:12126:1953:282
stylish	31013:12155:2530:267
stepppers	33921:12155:3396:297
special	41891:12051:1931:430
interest	44134:12081:1975:356
to	46442:12185:466:267 47441:13716:488:222 44311:32113:688:341 51970:32098:688:356 59563:32113:688:341
vale	47219:12111:1154:356
men	48707:12141:1110:341
""the	55056:12066:1887:534
serpentine""	57365:12022:4417:579
easton	29748:12705:2486:282
howfi	33544:12735:2109:252
........	41114:12898:2841:89
""™^	47175:12661:1443:118
—^—	48618:12676:1465:118
novelty	54745:12690:1820:267
dance	57054:12676:1398:222
creation	58897:12676:1998:222
ro	30591:13196:821:282
"s&	31435:12780:1465:698
leddy	33278:13225:1998:267
music	41114:12898:2841:386
dancing	45665:12943:4173:401
«"»lr.	53657:12988:1554:222
»-"	55567:12988:1132:208
«"»,*•	57054:12958:1864:520
vitaphone	59274:12958:2375:267
jack	27950:13671:1065:208
story	31324:13716:1243:252
palace	34632:13731:1531:237
screen	36430:13746:1531:222
at	31346:20046:843:356 40426:13567:666:282
0	38450:24311:399:564 38428:22855:421:609 45110:13627:266:282
p.	45665:13641:488:282
m.	30836:19452:532:222 46487:13641:621:297 49706:13686:621:282
a.	48818:13671:577:297
beniamino	55611:13552:3485:282
gigli	59607:13537:1620:282
milton	30347:14191:2419:282
sills	33144:14206:1598:282
even	43046:13968:1309:312
g	38450:27922:399:594 38428:29958:421:534 44933:14132:266:222 27017:20136:421:579 27062:29884:444:594 27062:25931:421:490
e*«pt	45554:14013:1820:356
als	57742:14191:976:222
o	58786:14191:355:208
"r.,».„;„,r	29326:14622:3330:326
n,„i:„i.i»	33144:14667:3441:282
an	43690:14489:621:163
monday	45044:14444:2109:312
movietone	56277:14578:3729:297
news	60340:14563:1731:312 59318:14949:1221:208
xjuming	29726:14875:2908:297
»jq	42357:14979:843:356
qqy£b	43534:14994:2086:371
ruarrc	45976:15038:2553:326
seeing	53391:14964:1465:252
hearing	56233:14949:1864:252
day	62471:14934:954:267
j	28638:27343:244:222 27017:19422:421:594 27062:23970:399:1084 29171:30597:88:876 27062:30597:444:876 27039:23316:421:861
open.	27950:19378:1398:282
,p.	29659:19437:910:222
last	33389:19467:1021:237
sho,	34632:19467:1221:237
9p.	36119:19497:976:222
$	27084:28814:421:564 38428:20002:377:549 27017:21592:421:594 27062:25203:399:579 38428:19274:355:564
last!	32478:20046:1864:371
f	27017:20864:421:594
richard	30369:20804:5061:520
all	41847:20775:1687:416
this	43801:20775:1953:416
week—matinees	46021:20775:7903:430
today	54212:20775:3130:416
sat.	59785:20775:1887:430 54834:32024:1309:430
barthelmess	28860:21547:8103:534
vincent	46886:22067:2730:356
youmans	50061:22067:3330:356
"the	29970:22885:2197:430
patent	32412:22900:3485:416
nautical	46398:22914:2886:401
comedy	52858:22914:2930:505
success	56166:22914:2641:416
leather	29770:23539:4129:430
kid"	34166:23568:1931:401
%	38472:23598:355:549
hit	40959:24029:5305:1159
oeck	54479:24059:8080:1129
molly	27950:25426:2153:267
o'day-arthur	30525:25441:5039:297
stone	35964:25456:1998:297
mathew	30614:25916:2863:282
betz	33766:25931:1554:267
—with—	50505:25916:2575:282 31457:28472:2575:222
!	27062:26644:421:936
h^	29215:26823:1287:743
td	31701:26674:1376:891
stag,	33255:26689:1820:297
louise	44689:26719:5883:653
qroody	52037:26734:6837:787
john	28638:27373:1110:193
murray	30081:27373:1731:237
anderson	32123:27373:2242:193
s	27084:29542:399:222 34543:27417:199:148 34854:30597:222:876
spectacle	35076:27373:2197:237
»'	52414:27402:333:104
"see-saw"	30236:27759:5483:490
king	52880:27982:2153:430
mitchell	31923:28933:3241:356
p	38428:28680:421:549
stella	45022:28933:2397:297
mayhew	47708:28933:2863:282
madeline	51770:28918:3196:297
cameron	55278:28918:3108:297
conducting	31613:29498:2664:282
•	34476:29498:177:282
■	38450:29513:377:208 27195:31400:288:208
olympia	31923:32455:2819:282 28327:29884:2819:282
orchestra	33833:29899:3796:282
direct	41403:29958:3152:416
from	44822:29973:2530:401
eleven	47619:29958:3330:416
months	51304:29958:3663:416
broadway	56810:29973:5283:401
—including—	31280:30374:3352:252
v?ain	28016:30895:1154:430
w%th°t^e?s^g	29259:30791:4373:579
eose	33699:30805:1154:564
ga£rls3	35276:30820:2664:534
*	38428:30672:399:609
original	50705:30805:4262:416
cast	55345:30805:2242:430
rosette—and	27972:31385:3219:222
foster	35009:31385:1509:222
gi	38428:31385:399:356
t	37562:31979:377:282 27039:32054:444:549 52969:32366:399:148
th	27950:31950:865:297
nll?^	31923:31979:2974:624
jl^	35209:31979:2331:624
eves.	40937:32039:1887:430
50	50816:32054:843:401 58408:32039:865:430 43134:32054:888:416
3,	45288:32069:621:475
wed.	46687:32024:1864:430
mat.	56455:32039:1620:416 48884:32024:1598:430
$2.	52969:32024:1065:490
$2.50	60562:32039:2020:490
regular	28616:32440:2952:282
prices	35120:32455:2131:282
v	60584:32366:399:163 38406:32425:399:282
*■■-	38406:32841:932:297
■ww—-"——l	45177:33049:5394:252
lihiiiiiii	54457:33049:2619:237
mm	57209:33049:1420:252
first	25996:53958:2042:371
star—"they	28327:53973:4662:490
tell	33255:53973:954:371
me	34454:54092:932:252
you'll	35653:53943:1776:520
endorse	37718:53973:2419:356
any	40404:54077:1110:386
cigarette	41780:53973:2619:460
for	44755:53958:865:356
a	45887:54077:310:237
consideration	37185:55028:3685:356 46465:53943:4084:371
.	51016:54240:111:74 51615:54240:133:74
."	52259:53928:621:386
second	25952:55028:2264:371
star—	28549:55043:2153:356
"sure,	30791:55058:1842:371
so	32922:55162:643:222
long	33722:55043:1376:460
as	35276:55162:577:222
the	36008:55028:976:356
isn't	41092:54998:1354:386
that	42646:54984:1221:386
i	44023:54998:288:371
give	44511:54998:1265:490
up	45998:55147:799:326
my	46997:55147:954:326
chesterfields!"	48196:54998:4728:386
they're	35431:62473:2708:297
mild	38561:62503:1709:297
if.	29859:62845:222:505
and	36674:63038:1043:297
yet	37873:63097:732:312
they	38783:63053:1798:297
satisfy	40870:63038:2575:312
ci92s,	19491:63751:1354:208
liggett	21045:63736:1887:193
&	23154:63751:244:178
myers	23643:63736:1465:193
tobacco	25286:63722:2131:193
co.	27617:63722:688:193
freshman	1975:2110:3352:297
swimming	5661:2110:3241:282
team	9213:2110:1798:282
will	5394:2585:1531:282
oppose	7281:2585:2419:282
hotchkiss	10056:2585:3574:282
in	8214:3521:421:297 2575:3536:510:282
a	3374:3640:266:178 13408:6434:266:193 11810:7861:244:193
meet	7037:4517:1176:237 3929:3581:1132:237
to	13186:5929:466:237 5350:3566:444:252 3818:8307:466:237
be	6060:3521:555:297 3330:9198:510:282
held	6882:3521:1021:297
the	2020:6375:777:282 7836:3997:754:297 6415:6360:976:282 12898:4948:754:267 8902:3521:754:297 8302:4948:754:282 9790:8723:754:267 7215:7311:732:282 2619:8738:976:267
carnegie	9945:3507:2242:371
pool	12498:3521:1132:297
at	1975:4056:488:252
4	2863:4012:266:282
this	3574:3997:865:312
afternoon,	4884:3997:2508:356
freshman	9035:3997:2508:297
swimming	12010:3982:1309:312 2020:4473:1243:356
team	9213:6360:1443:282 3707:4487:1443:282
will	5616:4473:910:297 2064:9198:888:282
hotchkiss.	8680:4473:2641:282
while	12099:4473:1531:282
little	2020:4963:1154:282
is	3618:4948:355:297
known	4417:4948:1642:282
about	6526:4948:1332:282
strength	9479:4948:2064:341
of	2042:8247:488:297 11988:4948:488:267 8924:8708:466:282
visiting	2020:5424:1864:356
team,	4284:5468:1287:297
it	6016:5424:333:282 5794:7772:355:297
recently	6748:5409:1975:356
defeated	3396:7786:2064:297 9102:5409:2064:297
pawling	11588:5409:2086:356
and	2020:5899:865:297
should	3330:5899:1576:297
present	5328:5944:1798:297
no	7548:5988:555:193
weak	8547:5884:1287:297
opposition	10234:5869:2553:356
freshmen.	3174:6360:2597:297
1931	7814:6360:1021:282
has	11011:6360:799:282
had	12165:6360:888:282
successful	2064:6850:2419:282
season	4928:6925:1598:193
having	6926:6835:1687:341
won	9013:6925:1043:178
from	10456:6820:1221:282
all	12054:6820:599:282
its	13120:6820:555:282
opponents	2064:7355:2464:312
except	4928:7341:1598:312
rutgers	8369:7311:1975:341
freshmen,	11055:7296:2575:297
who	2042:7786:1043:297
last	6460:7772:888:297
wednesday	7681:7772:2886:341
by	10900:7757:555:356
score	12409:7861:1265:193
42	2886:8247:555:297
20.	4639:8247:666:297
probable	3996:8723:2131:341
line-up	6815:8723:1687:341
freshmen	11211:8708:2464:282
as	4195:9287:488:193
follows:	4995:9183:2042:297
50-yard	2641:9659:1864:356
dash	5217:9659:1132:297
—w.	6349:9659:1332:282
m.	13009:12943:621:297 8147:9644:643:297
swoope,	9546:9644:2042:356
j.	12321:9644:377:341 9324:11071:377:341
c.	13186:9644:466:297 5305:11071:488:297
houston,	2064:10134:2242:341
jr.	4706:10134:666:341 3996:13433:643:341
220-yard	2597:10610:2197:341
swim—d.	5172:10595:2464:297
h.	8058:10595:621:282 13031:13894:599:267 4595:14370:621:282
clement.	9102:10595:2153:282
dive—b.	2619:11071:2286:297
smith,	6193:11071:1620:341
w.	8902:14370:754:282 8191:11071:754:297
oldfield.	10123:11056:2086:297
150-yard	2664:11531:2109:356
back	5261:11546:1132:282
stroke	6859:11531:1509:297
—j.	8391:11546:954:341
b.	2974:12022:510:282 9856:11531:510:297
lounsbury,	10855:11531:2775:341
e.	2064:12022:488:282
paine.	3907:12022:1531:282
200-yard	2597:12497:2197:341 2575:13909:2197:326
breast	5172:12497:1509:267
stroke—j.	7081:12482:2508:341
g	10012:12482:510:282
campbell.	10922:12467:2464:356
100-yard	2641:12958:2153:356
dash—c.	5283:12958:2197:297
g.	7992:12943:532:297
zug,	9035:12958:1110:341
jr.,	10633:12958:799:341
r.	11943:12943:532:282
owen,	2042:13433:1554:341
relay	5128:13909:1243:326
race—r.	6704:13909:2153:267
y.	9213:13894:577:282
clark,	10189:13894:1487:341
d.	12076:13894:577:267
clement,	2064:14370:2131:341
lincoln,	5616:14370:1998:341
f.	8036:14370:466:267
loeser.	10078:14370:1776:267
a	15096:13508:421:282
chicago	15917:13508:1998:356
radio	18292:13508:1287:297
director	19935:13523:1975:297
says	22311:13627:999:252
that	23687:13537:976:282
married	25019:13627:932:193 14563:14072:932:297
people	15917:14072:1531:341
are	17871:14162:754:208
the	19025:14072:732:297
best	20157:14087:976:282
