"	28079:43207:421:235
march	23688:44065:2753:487
1	26888:44133:272:403
—	27335:44368:892:50
clara	28401:44048:2282:504
louise	31080:44065:2778:487
kellogg	34280:44065:3695:656
march	23664:44873:2728:504
4	26814:44957:396:403
—	27260:45176:992:50
dion	28327:44873:2083:487
boucicault	30832:44873:4812:504
march	23664:45714:2654:504
6-7	26739:45765:1413:454
—	28228:45983:992:100
mary	29294:45714:2232:639
anderson	31899:45714:4340:487
peck's	25673:47279:2976:471
grand	29319:47262:3001:487
opkka	32941:47262:2852:487
house	36389:47279:3175:487
february	23664:48087:4043:656
23	28327:48154:1116:521
24	29914:48137:1165:572
25	31502:48154:868:403
and	33164:48103:1488:471
matinee	35421:48087:4390:487
g	39861:48087:892:504
w	41226:48070:1265:521
bunnell's	22721:48911:3919:487
marvels	27260:48911:3398:487
from	31229:48894:1984:504
the	33834:48928:1314:471
broadway	35868:48928:4390:639
mu	40928:48928:1637:471
seum	22647:49904:2406:454
new	25499:49735:1959:487
york	28079:49735:2430:487
american	27930:51283:4514:487
theatre	33015:51300:4241:504
first-class	23639:52125:4340:471
variety	28451:52125:2976:639
performance	31899:52125:5233:639
every	37430:52310:2381:487
night	40258:52158:2282:656
and	22622:52949:1562:471
saturday	24581:52932:3869:656
matinee	28873:52949:3695:487
the	21530:1733:1835:504
tale	23887:1749:2381:487
news	26814:1749:2852:588
friday	30286:1749:3497:588
february	34404:1749:4514:487
24	39539:1817:1190:521
1882	41350:1817:1785:403
peck's	3819:3264:3695:639
grand	8086:3264:3795:622
opera	12452:3264:3571:622
house	16594:3264:3869:639
thursday	2331:4223:6027:1110
friday	9450:4223:3944:908
&	14213:4240:719:891
saturday	16024:4240:6027:1093
february	3968:5535:5978:807
23	10542:5569:2058:740
24	13270:5569:1661:605
and	15552:5569:2455:639
25	18727:5569:2083:622
g	2381:6494:1041:807
b	4415:6494:1091:790
bunnell's	6374:6477:7664:824
marvels	15081:6494:6970:841
from	3695:7470:1909:420
his	6027:7470:1017:420
museum	7515:7487:3249:403
broadway	11261:7487:3671:555
and	15329:7520:1265:386
9th	17041:7520:1141:386
street	18529:7487:2356:437
many	6746:8193:2182:538
imported	9450:8193:3819:555
novelties	13766:8210:4068:437
dr	3348:8900:2034:521
lynn	6002:8883:3844:605
the	10442:8917:1761:538
vivisectionist	13270:8900:7912:572
who	8582:9708:1959:420
actually	11087:9725:4564:403
outs	4564:10381:5382:504
m£i]nr	10914:10398:4911:504
xji	16718:10414:3373:538
and	7565:11239:1389:386
then	9301:11256:1513:386
restores	11211:11256:3001:403
them	14486:11273:1909:420
the	4762:11929:1761:403
man	7044:11946:1810:386
i	12179:12080:24:218
the	13444:11962:1761:386
india	15751:11979:2356:370
rubber	18678:11979:3472:403
flutk	5605:13056:2877:386
i	12129:12669:99:874
man	16718:13090:2108:403
the	6350:14167:1736:386
the	16842:14200:1761:386
singing	3919:15227:3547:420
dog	7987:15260:1934:420
|	11980:14924:74:874
german	12700:15294:3596:403
d'forrest	16966:15311:4787:403
and	2232:15933:1463:403
others	4092:15950:2331:420
under	6846:15984:1984:370
i	9177:16068:124:269
lie	9500:15984:719:370
iiiiiiimgeineiit	10616:16068:4316:454
of	15304:16000:669:386
whiston	16296:16000:4167:487
the	21034:16000:1041:403
culyplionist	10046:16690:4390:504
admim	3051:17330:2802:403
>«	6151:17515:520:185
.:-,.■.	7094:17414:1265:336
i	9326:17464:124:269
inl	9872:17363:818:386
ivn	11261:17515:992:235
inc	12749:17431:1190:336
itcserved	14957:17363:3125:420
seats	18554:17464:1860:403
35c	20737:17431:1314:437
cau	2182:18003:1165:269
be	3621:17885:768:403
secured	4762:17919:2554:370
;■	7763:18070:248:201
l	8805:17935:520:353
s	10963:17935:421:353
temple	11881:17919:2579:538
of	14982:17935:669:386
music	16296:17952:2108:403
general	19347:17952:2728:386
admission	2182:18423:3398:403
i	6027:18575:570:201
mminri	7019:18457:2877:437
l	10368:18524:1165:336
olto	3522:19736:3522:1278
a	8012:19887:1686:1110
g	10815:19786:1637:1228
rausch	13469:19853:7218:1480
63	2232:24396:2034:605
—	4365:24682:1513:67
center	6126:24413:5556:605
street	13097:24464:5209:605
—	18330:24750:1488:50
63	19943:24480:2034:605
benedict's	7689:25843:3547:353
new	11732:25944:1364:252
building	13617:25961:3075:353
new	2108:27055:3125:504
haven	6201:27055:4514:605
-	13270:27341:297:117
-	16073:27391:297:67
conn	18330:27122:3646:538
ssi	6449:31261:3547:874
gsrf	6027:31884:2827:942
trade-mark	9847:32001:4266:471
n	15155:31884:2678:723
x_\_m	4737:37604:14436:3701
these	4564:43779:2058:437
goods	7119:43779:2108:420
are	9673:43914:1017:269
sold	11137:43779:1364:403
under	12948:43779:1984:403
an	15329:43931:818:252
absolute	5581:44604:5878:1312
guarantee	11881:44604:6672:1346
that	4588:46286:1637:420
they	6622:46286:1463:538
are	8359:46438:1017:252
the	9773:46269:1041:437
finest	11137:46286:2480:403
and	13940:46269:1240:420
purest	15503:46286:3919:420
goods	5407:46993:1984:538
upon	7813:47127:1661:403
the	9897:47010:1041:386
market	11385:47010:2406:386
;	14014:47144:198:336
they	4564:47834:1810:538
are	6821:47851:2009:386
free	9351:47851:2654:370
from	12452:47834:1587:386
drugs	14510:47851:3323:386
and	18182:47851:1240:370
chemicals	5432:48541:5804:403
of	11707:48524:719:420
any	12774:48675:1190:386
kind	14386:48541:1984:504
they	4564:49365:1810:521
consist	6697:49365:2232:420
of	9227:49348:744:420
the	10269:49365:1066:420
finest	11807:49382:2505:403
tobacco	14634:49382:3299:403
and	18182:49382:1240:403
purest	5432:50072:2579:403
rice-paper	8483:50072:4464:538
made	13369:50072:2009:403
our	4588:51048:2158:942
sales	7119:51048:3348:942
exceed	10815:51065:4291:942
theproducts	15329:51620:4092:538
of	4564:52209:744:420
all	5630:52242:2009:386
leading	8061:52209:2554:555
manufactories	10889:52209:4737:437
combined	15900:52242:3497:403
none	4613:53218:2058:386
genuine	7168:53218:3224:386
without	10839:53218:2579:403
the	13990:53218:1041:403
trade-mark	15602:53235:3770:386
of	5481:53891:719:403
the	6548:53908:1041:386
bull	8061:53908:2902:403
take	11906:53908:1736:403
no	14114:54060:818:252
other	15379:53908:1934:420
w	5605:54867:1314:959
t	7515:54901:868:908
blackwell	8929:54867:6672:959
k	15999:54867:793:959
co	17214:54901:1513:959
sole	4613:56213:1438:403
manufacturers	6399:56213:5109:403
durham	13518:56196:3447:504
n	17338:56213:917:420
c	18603:56230:818:403
esfhllsbeil	9128:59191:3497:353
184	13097:59208:1389:319
s^m-fiatted	2753:61968:5357:656
fwlnes	16991:61951:3571:673
jsficlncu	6871:62943:3745:605
t&fiacelles	11385:62943:5209:656
•	25425:55675:148:151
f	26070:55523:793:403
r	27335:55523:892:403
bliss	28749:55507:2827:420
6l	32048:55557:620:370
co	33089:55507:1984:504
tailors	35471:55507:3596:487
m__um—w—-—^c^am_-mau-———mm——mmam	26516:56079:8384:134
■!■	35099:56079:868:134
ii	36165:56079:1091:134
fa	37257:56079:942:134
ku	38199:56079:694:134
80	27359:57021:1165:386
and	28897:57021:1761:386
82	31055:57004:1141:403
church	32593:56987:3497:403
st	36488:56987:1265:437
51ii	26169:58619:6325:1968
joseph	32742:59107:8359:1480
fi	41523:59141:2654:1446
llott's	44475:58939:8061:1278
ijsfekl	53628:59090:5754:1497
fohr	26293:60167:7466:1800
steel	35570:60167:6970:1430
-	42540:60167:967:740
pens	43830:60588:6226:1060
uki	52363:60167:6523:1514
%	26417:61665:1165:790
x	27930:62035:967:420
ws_w	30187:61665:2455:790
the	33040:61850:1612:420
favorite	34875:61867:3894:437
numbers	38993:61867:4340:504
303,404	43532:61867:3522:521
332,351	47253:61883:3423:538
70!wm_wmmj	50825:61665:7912:790
ww	26715:62270:5630:723
and	37802:62455:1736:370
his	39836:62439:1389:420
other	41449:62455:2629:403
styles	44401:62455:3001:437
s	25896:62809:644:538
sold	31924:62876:2778:572
by	34925:63112:868:302
all	35942:62910:1835:521
dealers	38050:62927:4911:521
throughout	43185:63128:4241:319
the	47650:63162:1265:286
world-^hp	49064:62809:8905:689
_/	58341:63028:992:555
"""'	27831:63583:1116:151
mmm	29021:63566:917:168
''"	30931:63600:620:134
"~	34131:63616:620:117
m	34727:63616:198:117
"	34950:63616:223:117
""■'*	35719:63633:1116:117
*^	38993:63633:942:134
mm	39936:63633:1389:134
■■■■■■■■	44004:63667:1686:134
..—.»■«■■■.,■».■■—	46435:63667:4539:151
_„.	50999:63701:694:117
