diversity.	8104:23958:3072:415
divide	43181:19424:1567:285
do	29818:21905:577:272 56750:5093:577:285
doing	43160:24621:1381:363
dollars	16888:14460:2206:324
doors	9217:35729:1732:324
dorfman,	26312:37704:2453:337
down	30746:42486:1361:285 26271:43772:1299:298 58276:23308:1340:285
downtown	18291:13980:3216:324
drain,	11114:16370:1876:376
drawing	8887:25374:2660:415
during	19322:6288:824:181 1938:17319:969:415 20229:16825:989:324 19425:14460:2103:402 53368:19852:1649:350
dynamic,	10372:53127:2948:454 10372:53127:2948:454
each	36252:28246:1154:272 45284:11563:1175:272
easy	57698:21658:1154:272
editor	5175:4768:1649:207
editorial	8990:10004:6351:597
editors:	24993:4612:2742:246 25013:16734:2804:246 25055:26972:2783:246
effect	47883:23334:1443:285
either	32994:19359:1505:272
employees	6970:35262:3381:402
encourage	2783:24036:3361:337
endowment	3567:20632:3711:337
english.	22910:57856:1794:181 22910:57856:1794:181
ensure	11486:37717:2124:220
ensuring	11692:47605:2783:415
environment,	54688:12382:3402:324
essay	43470:53049:2536:493 43470:53049:2536:493
established	37345:29103:2907:285
ethnicity,	45594:18579:2969:350
evaluating	9341:31078:3402:402
eve	30973:21476:989:272
even	59843:22958:1196:194 56523:23399:1216:194
even.	19879:29233:1690:246
evening.	56131:19878:2144:337
event	59327:22464:1402:259
eventually	24085:42486:2680:337
exactly	45387:24192:1876:363
example,	54131:5093:2309:350
example.	9753:46708:2948:415
examples	58564:19437:2453:350
exist,	30581:21918:1381:337
exotic	13568:53127:1711:350 13568:53127:1711:350
experienced	31179:8964:515:194 22601:9302:2515:337
experimental	3814:21593:4309:402
explores	28395:18449:2185:350
exposure	18724:39588:2887:337
exposure.	6433:38185:3113:324
expressed	22580:7145:2577:363
extent	4083:16864:2000:311
fa	19734:6067:185:142
face	18126:43330:1340:324
facilities	43119:14136:2227:285
fact	48872:25933:989:285
failure	23673:46825:1711:272
far	24642:33871:762:285
favor	19095:21554:1690:337
fditors	5114:5846:1938:181
february	26106:28246:2453:337 37840:35171:2412:298 58049:14629:2412:324 58193:25946:2433:285
feel	40335:33001:907:272
fees,	2907:58272:1051:194 2907:58272:1051:194
feet,	10805:18267:1361:376
female	16703:53607:2000:337 16703:53607:2000:337
feminism	22601:18423:2433:272
feminism,"	26869:18878:3237:337
feminism?	58399:21165:2722:272
fibers	6949:37172:1835:324
film	58833:4651:1051:272
films	48563:13720:1278:285
finally,	53863:18150:2000:350
