"b"	6166:61652:938:287 6166:61652:938:287
compulsary	52039:60836:1832:347 62518:60458:916:196
compulsory	54519:54642:3239:317
concentrated	58340:33719:3217:302
concerning	48508:63208:2703:347
concert	7306:37344:3016:362 9406:42254:1832:241
conditions	16825:44475:2524:317
conferences	31393:63707:2904:302
conquers	54921:37616:3463:438
consecutive	44866:29323:3128:287 56016:13022:4312:438 58451:18899:2837:302
consider	14501:58298:1206:287 25137:57951:804:196 15283:59250:2077:317
consists	6323:48040:1921:287
contest,	61803:18944:1854:317
continues	42766:39580:2346:302
contributed	30253:28295:2837:302
copy	4357:56440:1139:256 7306:60307:1139:256
cornsweet	26991:37752:3776:423 35236:45079:2681:302
cost	43995:35713:1653:362
could	45671:61274:1318:287 57424:46847:1340:287
countries.	2860:60202:2435:302
country	7440:38342:2234:332
course	56508:59023:1608:211
credit.	60999:48297:1564:347
critics	1876:38372:1765:287
crotius,	4044:53932:2077:317
crowd	58586:20349:1519:287
cultured	27013:53509:2055:302
current	20757:41151:1809:241 6435:59280:1832:256
curtis	55770:45382:1541:302
curtis,	52039:29927:692:347 54720:30863:1653:347 62540:29428:871:302
customary	44822:49914:2614:302
cut	4535:29171:782:241
cuthbert	9518:49476:2234:317
d.	16914:60715:580:287 20333:53962:580:287 1832:34897:580:317 10658:31966:580:287 38990:52195:1027:498 56239:31830:580:271
dartmouth	42341:29897:2949:287 57669:31347:2770:287 51949:19865:1564:302 62228:19382:1139:302
dartmouth,	53826:25123:2904:377
dash	5921:24775:1117:302 3396:31060:1117:302 60909:28477:1139:302
dash,	10010:26195:1273:347
dashes	54966:46363:1631:287
date.	6010:42209:1161:302
day	17763:31090:1675:649 36800:21059:849:332
day,	14478:40608:1139:347
dc	1966:56833:737:302
deabting	52061:58449:2100:362
dean	24891:44520:1295:287
debaters	54094:52150:3351:362
debating	52061:56062:2279:362
decide	48240:57890:1519:287
deciding	28019:47466:2100:347 28265:11481:3150:513
decision	39548:42979:1474:317 50519:42511:536:287 52039:57497:1988:332 54295:53690:2301:287
decisive	27684:42647:2212:302 31505:20062:1943:302
declare	41314:58872:1765:287
declares	30767:52165:3999:513
decrees	47346:53554:1809:271
defeat	30655:26845:1519:302
defeated	34007:17146:2055:317 3597:27208:2055:302 4200:19971:2077:302 56619:56062:2077:317 59881:19382:2055:302
defeating	52731:40532:2457:362
defeats	18210:8731:4736:921 36040:18128:1742:302 55524:8777:4736:876
defense	55636:43448:1809:302
definite	26991:59325:1832:302
delivery	4870:38825:2301:332
delta	52061:63223:1362:302
description	14456:45925:2725:362
desire	17607:55896:1452:287
desperate	39526:61335:1519:302 50229:60806:759:287
destiny.	24287:63163:1899:362
developing	17227:29111:2904:347
developments	17227:44007:3351:362 22813:41121:3329:347
difficulty	6613:44143:2189:362
