"b"	6166:61652:938:287 6166:61652:938:287
this	16467:48343:893:287 1832:29141:916:317 27728:46499:916:302 32421:34127:893:287 28019:18612:871:287 35973:21996:1139:317 34029:13279:1452:362 3440:63586:893:302 5876:60202:1139:287 12534:57785:1139:302 47235:62226:893:317 48687:48418:1117:302 4938:45125:893:302 12736:42662:916:302 8177:46092:1161:302 52977:22268:916:287 53558:32299:893:302 57714:42466:916:302 61110:57497:1139:317
those	10680:41710:1295:302 18433:63148:1295:287
three	31773:48917:1273:302 34454:15212:1586:287 52150:44430:1251:302
threw	59725:47330:1452:302
through	2524:55382:2234:347 27818:45049:1988:377 34588:57407:2010:377
throughout	3910:38342:3262:362 61021:43931:2793:362
throwing	26991:46016:804:362 37001:45563:1430:302
thus	34208:17645:1050:287
tickets	45380:39097:1631:302
time	37627:46046:1072:302 52128:50714:1072:287 56709:55579:1072:317 6032:47058:1072:317 1921:41741:1072:302
time,	24935:39157:1206:362 57692:19850:1184:362
to	15126:33960:1005:438 18813:34036:692:347 17338:63646:491:256 17137:57377:424:256 22746:58857:491:256 25762:56440:402:256 18053:37767:513:226 19327:29655:513:226 22902:9955:1407:876 2457:17569:737:287 25695:40668:491:241 23394:39686:491:271 17450:40185:469:241 25695:46983:491:256 33605:30305:469:241 29337:33673:469:241 35437:34172:491:256 34208:26905:491:256 31348:19155:469:241 32823:17705:491:226 36107:62800:513:241 30611:54053:469:256 32801:62785:513:256 33784:59386:513:256 36510:53585:491:256 35772:61833:491:241 38230:48494:469:241 35728:46092:469:241 35549:48962:469:256 31929:47527:469:241 40174:29383:491:226 42788:35713:849:362 45380:60353:491:241 44956:55050:491:241 48620:59386:491:256 45537:58419:469:241 4580:44702:491:256 11149:45638:491:256 45961:36755:536:211 48196:43040:491:256 39548:42556:491:241 45090:44490:469:256 52754:53751:513:226 59747:53751:513:226 53938:30924:469:241 60351:34716:469:241 57736:33296:491:256 59345:50775:513:241 59345:48343:491:256 58116:50291:513:241 58273:42043:491:241 62585:57074:491:256 6859:29655:491:241 5630:21452:491:256 7038:20470:469:256 9004:58812:469:241 9853:36755:849:362
today	33873:58389:1385:347 6904:57301:1362:347
today,	17003:59748:1519:362
todd	58005:49264:1318:302 61267:44415:1362:302
tonight	10680:37314:2904:392
tonight,	3977:40774:1921:347
topic	17785:49324:1206:362
topple	33828:42194:1899:347
tour	6345:46635:1050:241
toward	23930:52134:3597:498 27013:55473:1720:271 35839:28325:1787:287
trade	46185:60307:1295:287
training	23371:64130:2033:332
treaties	35504:63707:1854:317 43034:55473:1854:302
triumph	33828:8626:3642:634 4625:17539:2368:362
turned	52106:31830:1608:287
two	30231:18189:893:241 33359:47043:893:241 44978:48463:916:256 52754:24700:893:256 5675:28205:938:241 3195:25319:960:256 11283:28643:938:256 58764:55639:938:256 60239:42043:983:241 56619:48343:938:256
typographical	10457:62150:2949:392 1966:62619:469:302
unbiased	33292:54023:2189:302
undefeated	15059:29594:603:287 22902:29111:2212:287 58362:13687:4066:438
undergraduate	20467:48871:3642:347 57088:59401:3642:362
undergraduates'	41515:42496:4021:362
unit	18389:46907:960:302
united	22768:54929:1653:302 23193:51470:3083:498 28890:62709:1698:317 29136:55941:1698:302 47548:61743:1720:317 9853:46575:1720:302
university	10814:20394:2703:332 15104:38190:2793:332 17294:28643:2770:332 1787:8852:6435:906 21405:31951:4692:634 21494:49823:2658:377 15171:41559:2681:377 20511:40124:2658:362 33002:43629:2703:362 28846:49385:2681:347 43637:28748:2770:347 52664:17932:2770:332 53000:19382:2658:362 54541:14351:3709:528
university,	16623:39157:2793:362 20578:47889:2815:362
up	30499:19201:580:256 34610:46046:759:347 56977:46469:580:241
up,	24310:41695:692:271
upheld	53469:61304:1653:332
upon	14478:54476:1184:302 43436:55095:1206:256
urged.	47078:38130:1832:347
vale	15037:39157:1139:302 28957:26362:1139:287 31974:24428:1161:302 30633:46515:1161:287 31415:44113:1184:302 3932:58751:1139:302 3038:55866:1161:287 52016:61320:1161:287 62540:55609:1161:302 62697:46832:1139:302 8848:32465:1161:302 9228:18974:1184:287 1809:28658:1206:317 7552:33432:1161:302 7239:34867:1161:287
vale.	10233:30048:1295:287 20936:44505:1273:287 51994:26105:1273:287
vanderbilt	40487:41529:2703:302 39593:47451:2681:287 41023:31891:5027:619
victories	31460:18128:2122:302
victorious	10032:20878:2502:317 33739:40245:3954:362 57781:52150:3999:377
victory	26924:28779:1787:347 29002:29262:1787:362 35348:21512:1787:377 36912:33160:1787:377 30790:13279:2882:362 31281:45064:1787:362 4245:33462:1787:347 4826:18989:1787:347 48598:29323:1876:347 55145:57981:1787:347 56083:41982:1787:362 58854:17463:2077:347 60731:38598:2055:347 60932:13022:2658:513 61892:23204:1765:362
victory,	32153:22978:1921:347
victory.	31639:42662:2189:332
visit	18165:40124:1050:302
visitors	1809:29625:1854:317 29114:41695:2077:287 46810:45412:1854:302 49179:36695:2077:271 58764:43931:1854:302
visitors.	9697:25229:1988:302
w.	1787:22887:759:287 37828:14276:737:271 58206:25138:759:302
war	19796:53464:1139:302
war.	28980:64265:1117:211
war..	18299:55398:1452:302
was	14456:42149:938:196 1899:44264:960:196 22947:54068:983:196 2658:57392:938:211 1988:63193:938:256 28466:20651:938:196 33962:26467:938:181 31371:24035:916:196 33091:25002:960:211 26946:19201:916:196 26969:33719:938:196 36666:19201:960:196 33247:49476:960:211 32063:46605:938:196 41537:58479:916:196 57334:58072:938:196 60731:21391:938:211 52016:25712:916:211 62898:44505:938:211 58273:48886:938:181 61803:47904:960:211 52128:45487:938:196 54072:50322:960:196 7731:27751:960:211 3843:19578:938:211 12602:31574:916:181 9205:21950:960:196 11239:33024:960:211 12557:26286:960:196 9429:32072:960:196 6256:22449:938:196 3172:29232:960:211 8669:20983:938:211
was,	57938:59975:1094:256
washington's	15998:34625:4893:528
water	1787:20953:1631:287 8289:17524:1653:302
we	25516:60836:692:211 18992:61803:692:181
week.	28131:20062:1385:302
weights	34543:46998:1921:347
well	23729:57845:1050:302 52039:30395:1005:302
went	11082:44671:1206:256 33359:61818:1184:241 62540:31861:1206:241
were	1899:44747:1206:211 3977:29700:1251:211 11239:24821:1184:211 57223:57120:1206:196 59926:45971:1206:196 61155:23793:1206:196
what	24958:58812:1251:302 22232:56395:1273:287 29695:60307:1206:287
whcih	35795:26860:1497:287
when	1787:19986:1318:302 30700:48433:1318:287 56932:56561:1318:287
whereas	34543:22993:2010:271
wherever	3731:49974:2569:302
which	1809:27223:1497:302 7373:21860:1474:302 20422:46922:1474:287 14501:49808:1474:287 22857:43040:1474:317 26969:34096:1497:302 26946:21044:1452:287 41470:43463:1474:317 4580:62135:1497:302 49514:37163:1742:287 54921:47315:1497:317 62339:50714:1474:317 61602:41967:1497:317 55122:23219:1497:302 52128:35637:1474:302 61915:16980:1720:287 9339:44626:1497:302 1899:45623:1519:302
while	23751:60730:1362:317 27773:38402:2145:453 28779:31196:1340:302 3709:32012:1340:302 40129:39112:1519:287 9741:62649:1340:317
whipped	58027:30863:2055:362
who	10501:32465:1072:287 15059:29111:1094:287 20109:63148:1027:302 23841:61712:1072:287 28890:28310:1050:271 32354:45548:1027:302 40152:28748:1072:287 62652:31332:1027:302 56686:30863:1027:302 52039:29443:1027:302
whom	16043:54431:1541:287
why	32666:54990:1027:362
wide	62540:57497:1161:317
will	22165:43538:938:287 23818:47904:938:302 16869:42541:916:302 14501:49309:916:302 22209:46938:916:287 21763:45472:938:302 16266:49808:916:287 22500:37224:1094:302 23349:62664:938:317 25271:61727:916:287 31371:54506:938:287 46162:43463:916:317 5206:45623:960:287 11708:42194:916:302
williams,	20444:36755:2502:332
wilson	22947:53479:1787:317
wilson,	54653:35154:1966:362
wing	61379:25606:1251:362
winnetka,	52061:64175:1474:347 62429:63722:983:302
winning	30767:15212:2301:347 52553:18899:2234:362
wins	29650:41212:1340:287 31661:37752:1876:453
winter	60753:49264:1832:302
winter.	55457:49264:1943:287
with	12534:44626:1117:302 12557:50458:1094:287 3306:44158:1139:302 21539:29579:1184:302 29293:48901:1117:302 34946:23944:1117:287 32689:32661:1117:317 30030:30728:1117:287 40263:37178:1273:271 42185:49868:1117:287 47838:60307:1139:287 40219:59824:1094:317 55256:48297:1117:302 58072:26573:1117:287 7038:33900:1139:317 9496:58253:1094:317
within	30052:62226:1608:317
women	34298:53630:1742:211
won	28712:34202:1050:196 29918:43720:1027:196 34007:48055:1050:181
—won	33247:11481:2703:438
won	3820:34036:1072:196 10099:30622:1050:196 6345:25349:1027:211
words	7552:44641:1497:302
work	62518:44898:1295:302
world	17696:58313:1474:287 16333:55382:1631:317 28957:56440:1430:287 36264:58389:1474:317
world.	21696:62196:1586:287
would	29896:51485:3016:513 46006:60791:1474:287
wrestling	36331:43644:2368:377
wright,	30320:21044:2010:347 31214:12131:2770:513
written	9764:41227:1832:302
wrong,	35951:60912:1742:256
y.	16601:44959:580:287
yale	14389:33281:1608:513 1921:51893:1653:392 27192:36393:2033:634 32242:42194:1184:271 35482:14744:1206:271 44062:8731:2770:891 52106:52150:1631:362
yale's	34968:33160:1541:317 58809:20817:1519:302
year	23908:44128:1094:256 30432:27419:1072:256 33560:34217:1094:271 35839:13279:1720:362
year,	30075:28884:1228:256
yearling	34767:41227:2323:362
yearlings	52083:38613:2502:347 61356:43433:2457:362
year's	26991:33145:1452:347
years	59948:55700:1295:256
yesterday.	20422:42088:2524:347
yet	40867:60836:759:302
york	31616:25878:1318:287 26924:17645:1295:287 32510:9472:2212:634
