dance	50833:42412:2013:395 55577:31455:2978:499 55550:34163:2978:499 52405:49307:3061:520 52461:45849:3061:520
party	55936:45891:2840:520 55853:49328:2840:520 58970:31475:2758:479 58942:34142:2758:499
w/	49868:49994:689:354 50833:34850:661:395 50888:46536:661:354 50971:32100:661:374
dj	51826:34829:744:416 51964:32080:744:416
sam	53040:32100:1379:395
t„	54722:32100:717:458
99<c	55743:32100:1048:437
admission	53343:39350:3365:395 57122:32142:3254:374 54695:49994:3420:395
■	48627:32663:413:374
50c	50916:35413:1048:395 49233:32642:1048:437 49482:43662:1103:395 49895:39891:1075:416 49675:50536:1075:416
drafts	51302:39891:1930:395 51054:50515:1958:395 55026:47099:1958:416 50888:43662:1903:395 50613:32642:1903:416
99c	53481:32663:1075:416 55577:50557:1103:416
housedrinks	54860:43683:4026:437 56570:35371:3916:416 54888:32663:3916:416 55274:39933:4054:395
till	53316:50536:772:395 59660:39954:744:374 59191:43745:799:395 59108:32705:717:374 57287:47120:772:395 59522:50578:772:374 55853:35954:744:395
10	60790:39954:661:374 56929:35954:661:374 60184:32705:661:374
pm	57701:40579:965:395 61149:32788:937:395 60956:43849:937:395 59411:47224:937:395 57894:36038:937:374
sat.,	53702:33579:1351:458
23	57039:33559:689:416
kcioi	49730:34184:2482:499
rock	52736:34163:2399:520 56488:48661:2482:499
lan	52929:34850:910:395
roberts,	54171:34829:2647:458
$1.01	54612:35371:1544:458 57122:34808:1544:458
adm.	59025:34829:1544:395 51771:47099:1544:374
drafts,	52295:35392:2013:458
stroh's	53288:35954:2261:395
sun.,	53564:36954:1599:499
25	57287:41349:744:416 57150:36996:744:374
toad's	50171:37537:3254:499
talent	53757:37558:3420:499
search	57536:37558:3613:520
open	49316:38183:1710:499
to	51357:38225:606:374 54309:59514:910:416
anybody	52268:38225:2758:479
—	55357:38454:634:41
singers,	56350:38246:2537:479
dancers,	59246:38246:2785:479
jugglers,	49509:38766:2813:479
comedians,	52654:38787:3751:458
musicians,	56763:38808:3585:479
etc.	60652:38829:1158:374
!	48516:39246:82:624
free	51606:39329:1434:416 52985:49974:1434:395
all	57012:39370:744:374 58446:50015:717:395
night	59522:50015:1627:499 58087:39370:1654:499 51054:45162:2730:499
$1	53812:43662:634:458 50751:47078:606:416 54253:39912:606:416
registration	52709:40454:3999:499
8	57012:40475:358:395
mon.,	53536:41329:1737:479
traditional	50888:41849:3530:416
w.	54777:41891:689:395
african	55798:41891:2399:416
music/	58501:41954:2261:395
afro-caribbean	53840:42433:5047:437
funk	59218:42495:1406:395
mikata	54060:43037:3337:499
9	60294:43766:330:374
tues.,	53288:44578:1930:479
26	57232:44620:717:416
toad	57812:45224:2427:499
rent-a-dj	51854:46516:3227:416
jim	55384:46536:1158:416
brannigan	56901:46557:3365:520
25c	53647:47099:1048:437
11	58418:47141:551:374
wed.	53371:48057:1627:395
27	57012:48078:744:374
modern	52157:48620:3889:520
duke.	50888:49974:1737:395
10.	54419:50557:855:374
millers	57012:50557:2206:416
12	60652:50578:689:395
thurs.	52929:51515:2041:416
28	56984:51536:744:395
toad's,	50144:52057:2261:458
cross	55798:52078:1875:416
country	58005:52098:2647:520
concerts	49096:52619:2868:395 57949:55806:3916:416
present	52157:52682:2427:416
mca	54860:52640:1489:395
recording	56653:52682:3034:479
artist	59935:52702:1654:395
joan	52433:53202:2372:520
jett	55191:53223:2096:520
blackhearts	53067:53911:6592:541
upcoming	53867:55765:3833:437
mar	48930:56306:1241:395 48930:56869:1213:374 48820:60598:1241:416 48875:58952:1241:374 48875:58389:1268:395 48765:62285:1268:374 48903:57827:1241:395 48820:60056:1268:395 48847:59493:1241:395
3—roy	50833:56306:2592:416
ayers*	53702:56306:2675:416
7—ronnie	50833:56869:3889:395
laws*	55053:56890:2289:395
•buy	48930:57369:1268:312
both	50420:57389:1434:291
these	52957:57410:1737:291
tickets	54860:57410:2234:291
for	57287:57431:1075:291
a	58529:57452:330:270
discount	59080:57452:2758:312
/	62997:57265:137:499
10—the	50420:57848:2923:395
clancy	53619:57848:2896:416
bros.	56819:57869:2096:395
11-adx	50420:58389:2923:395
three	54364:58389:2316:416
colors	56984:58410:2923:437
18—new	50392:58952:3144:395
johnny	53812:58952:3006:416
five	57122:58973:1544:416
\	62942:58931:193:583
21—eight	50337:59514:3723:395
bar	57205:59535:1406:395
22—n.r.8.q	50309:60056:4164:416
24—the	50309:60598:2923:416
itals,	53536:60618:2123:479
roots	51909:61160:2372:416
radics	54612:61181:2647:416
don	51881:61722:1489:416
carlos	53702:61722:2840:437
31—al	50282:62285:2427:395
dimeola	53040:62285:3199:416
apr	48765:62826:1158:499
30—tower	50171:62847:4082:395
power	55826:62868:2537:395
r	62694:62701:386:604
sam	5323:3332:5571:1770
shepard's	12025:3312:13239:2187
desert	26589:3478:7888:1812
chronicle	35636:3562:12329:1791
by	4992:6228:1103:395
martin	6371:6249:3199:437
kihn	9874:6332:2041:395
badly	2234:7207:2013:562
stung	4909:7249:1875:541
by	9074:19102:827:562 7474:7249:799:562
criticism	8936:7249:3089:437
that	10619:10040:1351:437 12742:7249:1379:437
his	11915:12123:965:437 12908:40037:937:416 4082:12811:937:437 14756:7249:965:437 4302:9311:965:458
female	1517:7895:2675:458
characters	4937:7936:4275:458
were	9957:8061:1875:312
as	8440:12248:717:312 6095:33892:744:291 4137:11519:744:333 2234:31663:827:437 9267:11561:744:312 3723:26913:717:312 12549:8061:799:333 7419:26913:717:312 5902:23289:827:416 5985:8749:717:333
twodimensional	1517:8582:4220:499 14122:7957:1241:437
stage	7005:8665:1820:541
flats,	9074:8644:1737:541
sam	11115:8644:1489:437 7585:16331:1461:458
shepard	3558:37225:2840:562 12880:8624:2868:583
took	1517:9311:1434:437
up	3199:9436:827:437
angry	5516:9436:2041:458
pen	7805:9457:1186:437
and	11501:13540:1241:458 9267:9332:1268:437 3806:34454:1241:437 13073:24684:1268:437 5819:29559:1241:458 12935:21206:1268:458 1517:32330:1406:458
wrote	10784:9374:1958:395
fool	13046:9374:1434:395
for	11253:14935:910:437 14673:9353:1075:520 11639:40016:965:458 10646:37246:992:437
love.	1572:10040:1792:416
the	4495:40037:1048:416 14673:15644:1048:437 12053:28872:1048:458 12798:33767:1075:437 14480:32371:1213:437 1517:14915:1048:437 6371:27497:1020:437 8743:30267:1048:437 11832:34454:1048:437 14673:22622:1048:416 12963:13561:1048:416 7557:36558:1020:437 14673:10040:1075:437 10150:14248:1048:437 13349:33059:1020:437 8440:38641:1048:437 9212:25393:1020:437 3916:10019:1296:437 7005:14935:1048:437 14646:19831:1075:437 6426:26080:1048:437
real	5681:10019:1351:437 14315:33767:1351:437
coup	7529:10144:1599:437
is	15197:26101:496:437 9819:15644:524:416 15170:29580:524:437 8964:28184:496:437 9570:10040:551:416 12880:31663:524:437 7033:17706:524:437 9184:40037:524:416
may,	12467:10040:1682:541
play's	1517:10707:2041:562
archetypical	3999:10707:4357:562
motel	8826:10728:1930:437 10701:21227:1930:437 7088:13540:1903:437
heroine,	11170:10748:2951:520
has	6702:37246:1130:416 3089:17019:1158:437 14563:10728:1158:437 1517:14206:1158:437 12632:20456:1130:416
almost	1517:11394:2316:458
many	5157:11540:1985:437
lines	7419:11415:1572:458
eddie,	3475:31642:2206:562 10343:11415:2206:541 1517:21872:1213:562 14508:21206:827:458
its	12467:14956:799:416 12880:11436:799:437 2261:17706:855:437
main	13984:11436:1710:437
cowboy	1517:12082:2703:562 13101:36537:2565:562
—	15004:41641:634:83 4440:12352:634:62
who	5295:12123:1351:437
acts	6840:12165:1406:395
though	9377:12144:2344:541 7309:33767:2316:541
parents	13073:12144:2647:541
spiked	1517:12790:2234:562
baby	5378:12811:1654:562
formula	7364:12832:2730:437
with	1489:40725:1489:437 10453:12852:1461:437
tequila.	12246:12852:2565:541
it	15225:12852:496:437 10122:33767:441:437
takes	1517:13498:1820:458
place	3585:13519:1847:541
in	7916:30267:606:437 12246:33079:606:416 3171:21893:634:437 13708:19831:606:437 5930:21206:606:437 5157:27497:606:416 5626:13540:606:416
a	6840:21310:386:312 10205:19227:358:333 11832:38746:358:333 9819:28309:386:333 6481:13665:358:312 8440:26913:386:333 10977:35975:358:312 8274:41537:386:333 15335:23414:358:312 1517:35954:358:312 4220:21997:386:333
room,	9239:13665:2013:416
play	14232:13540:1461:562
more	3034:14331:1820:333
padding	5157:14227:2758:562
than	8274:14248:1489:437
mattress	11529:14269:3061:416
on	14921:14373:772:312 8191:25518:772:312 14866:40829:799:333 10757:34579:772:312
bed.	2868:14915:1379:437
