they	59936:9998:1367:544 57691:12679:1599:544 53176:11994:1367:544
played	48196:10623:2089:524
at	54363:12679:619:423 50725:10683:619:383
je	51757:10663:877:403
was	53073:10764:1212:302
cover	54750:10784:1754:302
material,	56917:10663:2992:443
quartet	48170:11329:2347:503
built	50879:11308:1393:423
up	52634:11449:748:403
a	53718:11449:361:302 55214:12780:335:322 52066:12780:335:302
considerable	54388:11329:4102:423
store	58826:11369:1599:403
originals	48170:11994:2786:503
will	55033:11994:1135:423
introduce	56633:11994:3044:443
into	60168:12014:1161:443
their	48196:12639:1496:423
shows	49925:12659:1909:423
little	52686:12659:1470:423
time.	55807:12679:1599:423
claim	59523:12679:1754:443
once	49951:13445:1419:322
people	51886:13344:2038:544
hear	54440:13344:1444:443
code's	59239:13344:2089:443
originals,	48170:14010:3018:503
they'll	51473:14010:2012:524
be	53743:14010:722:423
sold	54724:14010:1264:443
on	56220:14131:722:322
band.	58491:14010:1702:443
"our	48893:14675:1573:423
fun,	53640:14675:1186:503
it's	60348:14695:980:423 55085:14675:980:443
upbeat,	56349:14675:2322:564
and	58955:14675:1161:443
powerful,"	48170:15340:3457:524
auerswald	51937:15340:3405:443
said.	55601:15340:1470:443
books	56117:16550:5392:1149
'steely	3895:18041:8307:2116
blue':	13339:18041:7301:1733
a	21982:18586:1367:1189
middle	24382:18041:8617:1773
aged	34083:18102:5779:2056
fireman	41075:18082:9649:1733
matures	51834:18323:9933:1491
steely	4515:24290:1960:544 16409:26407:1909:503 17493:20601:2064:544
blue	19866:20601:1573:463
dennis	16641:21388:2373:483 6992:26347:2218:423
smith	19350:21388:2038:483
simon	14293:22174:2193:483
and	10449:24996:1186:423 16822:22194:1264:463 14809:31104:1186:423
schuster	18447:22194:2967:483
$15.95	19118:22980:2218:503
by	8204:23686:1032:362
elizabeth	9469:23686:4308:403
rourke	14010:23706:3173:403
byrnes	6708:24311:2296:524
is	20434:24371:516:443 9211:24311:516:423
a	9933:24431:361:302 5960:25097:361:302 8101:33241:361:302 21131:24492:361:322 16873:25137:335:322 11894:25117:361:322 9804:27153:361:302 21079:31225:361:322 6347:27798:361:322 14035:30560:361:302
fireman	10578:27032:2580:443 10526:24311:2580:443 13597:28322:2657:463
