305	30459:14054:512:399
crown	17045:14714:1106:439
street,	18286:14714:1120:519
6:45	19541:14754:688:419
"tlie	17058:15394:863:419
remaking	18057:15394:1767:539
human	20391:15414:1228:419
beings,"	21782:15394:1457:519
dr.	23361:15374:539:419
tom	24049:15374:782:419
wright,	24953:15334:1268:539
christian	27288:15334:1592:439
fellowship,	29002:15334:1956:559
263	17031:16073:526:419
street	17665:16053:1039:439
8	27922:30188:161:399 28435:35646:161:399 28300:36326:161:379 28583:28868:161:379 19784:16093:188:399 19217:33667:161:399 18570:35026:161:379 25290:27529:161:379
ttie	17031:16733:661:399
alley	17854:16733:863:519 26141:16673:890:539
cat	18057:32987:580:399 18880:16733:580:419
champagne	19622:16733:2024:539
jam,	21795:16733:850:459
featuring	22807:16693:1565:539
cats	27180:16673:755:439
whiffenpoofs	29542:16673:1255:459 17031:17373:890:539
1985,	30203:18053:755:479 18516:17413:769:499
dining	25655:20672:1066:559 25830:30168:1052:519 28286:23351:1066:539 26235:36266:1066:539 18745:18712:1052:559 20041:17373:1052:559
8:30	22105:17393:674:419 20810:18752:688:399
$3	23900:17353:350:499 19258:24070:323:479 22618:18712:323:479 19865:34986:337:459
advance	24791:17333:1444:439 23509:18672:1417:459
or	25047:18792:350:319 26343:17453:364:319
door.	26640:18672:850:439 27936:17333:850:459 23995:34946:836:439
"play	17058:18053:1012:539
it	21755:19392:229:419 24224:19372:229:419 18246:18073:269:419
again"	18678:18073:1228:539
jam	20068:18073:742:419
with	20985:18053:728:439
dukesmen	22551:18033:1781:439
whim'n'rhythm	26707:18013:2834:539
"judaism	17072:19392:1673:419
pleasure:	19582:19412:1632:399
if	21377:19392:269:419
feels	22092:19392:769:419
good	22983:19372:769:539
is	23846:19372:269:419
wrong?"	24562:19372:1484:499
rabbi	26141:19332:1025:439
mordechai	27261:19332:1821:459
swiatycki,	29191:19332:1767:559
friday	19150:20032:1160:559
night	20459:20032:850:559
forum,	21444:20032:1133:519
9	26289:28209:175:379 23037:22751:161:399 22713:20072:175:399 27706:20712:175:399
free,	24022:20012:1201:519
follow.	28502:20012:1133:439
saybrook	17045:20712:1605:539 23968:20672:1565:579 21309:20692:1592:559
folk	18785:20732:769:419
festival,	19690:20732:1498:479
sac,	25965:23351:809:539 23010:20692:809:539
p.m.-l	23307:22751:1052:499 17045:24090:1052:479 27990:20712:1039:499
a.m.,	24481:22811:877:419 18246:24170:877:399 29164:20812:863:379
free	30162:20692:809:419
w/sac,	19717:24010:1268:559 17031:21371:1295:539
$1	18475:21391:323:479 28354:28169:296:479 27423:27489:310:479 20526:33647:310:459 21876:26849:310:479 30662:30168:310:459 30662:28829:296:479
w/o	18934:21371:647:459 21593:24030:661:479
sac.	19717:21371:796:439 22362:24050:796:419
