recently	12575:25937:2137:351
joined	14920:25924:1597:351
team	17722:25937:1286:260
for	16228:38724:747:273 18344:30026:726:286 19237:25911:747:286 15833:38281:726:286 13094:36979:913:260
ivy	21187:25911:809:338
league	12575:26367:1909:338
play."	14692:26354:1618:351
few	13883:26953:892:286
times	15190:26966:1431:273
flashed	18925:26979:1867:273
speed	12554:27383:1473:364
shown	16165:27396:1618:286
yale	18676:29596:1182:273 16995:33047:1162:286 18241:32188:1182:286 18988:27409:1182:273 17514:39167:1182:273
secondary	20378:27448:1348:247 12554:27826:1203:338
four	14256:27839:1037:273
months	15750:27839:1909:273
early	18158:27839:1328:351
fast	21021:27852:975:273
breaks	12554:28255:1743:286
down	14713:28268:1307:273
court	17597:28294:1348:260
—	19154:28437:498:26
once	20814:28802:1162:195 19859:28372:1162:195
lost	12554:28711:913:260
ball	14733:28711:913:273
out	15916:28737:767:247 21167:37435:788:273
bounds	17618:28711:1805:286
was	21001:31406:954:208 13385:29219:996:195
overlooked	14630:29141:2843:286
as	21416:35326:560:195 17701:29232:560:195
waved	19340:29154:1680:286
his	21270:29167:705:273 12554:38281:705:273 16145:30026:726:273 13281:37839:726:273
hands	12554:29570:1494:286
all	14339:29583:622:273
alone	15232:29583:1390:273
basket.	20108:29596:1846:273
but	16871:31328:809:286 20233:34818:913:273 16933:37839:788:286 12554:30026:913:260
saved	14464:30026:1494:273
best	17099:30013:1016:286
last.	19299:30026:1058:286
with	13094:30443:1182:286
brown	19091:31341:1680:273 14588:30469:1660:260
trailing	16560:30456:1929:351
79-78,	18780:30482:1348:312
took	12554:30885:1079:273
fifteen-foot	14526:30885:2843:286
baseline	17680:30898:2116:273
jumper	20087:30898:1888:351
hit	13800:31328:684:273
nothing	14713:31328:1909:351
net.	17888:31341:933:273
up	12534:31836:622:273
80-79.	13468:31771:1348:273
after	15190:31758:1328:286
yale's	15979:35221:1618:286 16809:31758:1639:286
peter	18759:31771:1431:273
white	20503:31771:1473:273
made	12554:32188:1431:273
shot	13468:35651:1058:286 20918:33945:1058:260 14816:32188:1058:286
give	16871:32188:1079:351
lead,	20731:32201:1224:338
again	14464:32617:1411:351
found	16269:32617:1431:286
himself	18054:32617:1950:286
position	12554:33047:2033:351
hand	15522:33047:1245:286
mark	18905:33060:1369:273
loss	12554:33490:954:286
column.	13717:33490:2054:286
realized	13800:33919:2075:286
we	16041:33997:705:208
needed	16912:33919:1826:286
get	19527:33971:767:312
up,	12534:34427:767:273
five	17016:34349:975:286
foot	18241:34362:954:286
jumper.	19423:34375:2054:338
take	14484:34792:1099:273
it,"	15854:34792:850:338
failed	12554:35208:1473:286
find	14816:35221:975:273
number	17743:35234:2012:273
twice	19901:35248:1369:273
rolled	14671:35664:1494:273
out.	17992:35677:954:273
still,	19112:35677:1182:325
collected	12534:36094:2303:273
10	15065:36120:477:247
points	15750:36094:1514:351
12	18158:36133:456:234
minutes	18801:36107:2054:273
an	13675:36602:622:208
assist	14505:36537:1473:273
steal.	17805:36537:1348:273
now	14194:37057:1016:195
will	17120:36966:913:286
be	20440:39167:581:273 18241:36966:581:273
able	19008:36979:1079:273
concentrate	20918:37057:809:208 12554:37422:2158:260
getting	15750:37422:1805:338
cobwebs	18780:37409:2178:286
hightops,	14277:37852:2344:338
already	18842:37852:1992:351
goals	13447:38281:1328:338
set	14941:38294:726:260
next	16705:38307:1120:260
season.	20067:38373:1867:208
"i'm	13115:38659:1203:338
going	14609:38711:1369:351
paterno,"	17244:38724:2552:338
said	20918:38737:1037:273
smiling.	12554:39154:2054:338
hopefully	14837:39154:2490:351
won't	18863:39167:1390:273
one	12534:39662:892:208
standing	13634:39584:2220:351
way.	17701:39662:1203:273
ydn	18075:15872:913:169
johngarber	19195:15872:2365:208
one	2261:16107:1224:260
for	3756:16120:1203:247
two	5208:16120:1286:260
—	6702:16276:498:26
keiron	7408:16133:1722:260
bigby	9421:16146:1452:325 19652:16198:1473:338
(1)	11206:16159:664:247
makes	12160:16159:1680:260
a	14069:16237:249:195 17950:17135:249:169
stop	14609:16198:1037:299
against	15896:16172:1867:338
yale.	18054:16185:1307:260
played	2261:16536:1701:338
football	4129:16549:1929:260
in	6246:16562:435:247
the	15999:16614:767:260 6868:16562:788:260
fall	7823:16562:830:260
and	8798:16575:933:247
singlehandedly	9898:16562:3922:364
handed	13945:16601:1888:273
loss	16933:16614:954:260
to	18054:16640:477:247 13800:17044:477:247
yale	18697:16627:1182:260 15792:17044:1162:260
with	20025:16627:1079:273
three	2241:16979:1328:260
interceptions.	3797:16979:3527:338
he	7574:16992:643:260
had	8446:16992:913:273
another	9587:17018:1971:247
chance	11787:17018:1805:273
beat	14484:17031:1079:273
as	17182:17122:539:208
basketball	18448:17057:2677:273
player	2241:17409:1660:325
tuesday	4108:17422:2158:325
night	6495:17422:1307:325
but	8010:17435:809:247
came	9027:17500:1390:195
up	10625:17513:601:247
short.	11455:17448:1452:273
ydn	18075:15872:913:169
johngarber	19195:15872:2365:208
one	2261:16107:1224:260
for	3756:16120:1203:247
two	5208:16120:1286:260
—	6702:16276:498:26
keiron	7408:16133:1722:260
bigby	9421:16146:1452:325 19652:16198:1473:338
(1)	11206:16159:664:247
makes	12160:16159:1680:260
a	14069:16237:249:195 17950:17135:249:169
stop	14609:16198:1037:299
against	15896:16172:1867:338
yale.	18054:16185:1307:260
played	2261:16536:1701:338
football	4129:16549:1929:260
in	6246:16562:435:247
the	15999:16614:767:260 6868:16562:788:260
fall	7823:16562:830:260
and	8798:16575:933:247
singlehandedly	9898:16562:3922:364
handed	13945:16601:1888:273
loss	16933:16614:954:260
to	18054:16640:477:247 13800:17044:477:247
yale	18697:16627:1182:260 15792:17044:1162:260
with	20025:16627:1079:273
three	2241:16979:1328:260
interceptions.	3797:16979:3527:338
he	7574:16992:643:260
had	8446:16992:913:273
another	9587:17018:1971:247
chance	11787:17018:1805:273
beat	14484:17031:1079:273
as	17182:17122:539:208
basketball	18448:17057:2677:273
player	2241:17409:1660:325
tuesday	4108:17422:2158:325
night	6495:17422:1307:325
but	8010:17435:809:247
came	9027:17500:1390:195
up	10625:17513:601:247
short.	11455:17448:1452:273
squash	2075:40860:7180:1315
trounces	10210:40951:8529:989
williams,	19631:40860:9691:1276
loses	30277:40847:4731:1080
to	35506:40860:1929:989
f.m.	38308:40834:5042:1067
by	2116:42565:622:234
ed	3009:42552:809:234
barkin	4046:42552:2261:247
this	2594:42956:1099:273
past	4212:42982:1079:325
saturday	5810:42943:2365:364
at	8695:42969:498:286
payne-	9711:42956:1805:338
whitney	2075:43399:2116:338
the	7014:45131:809:273 2116:47305:788:273 4399:45131:788:286 4357:43399:788:273
men's	5312:43399:1514:260
squash	7014:43399:1763:338
team	8155:45157:1265:247 8964:43412:1265:247
split	10417:43386:1079:338
a	2075:43920:269:195
pair	2531:43841:1058:338
of	7802:47305:477:273 3714:43828:498:273
matches,	4357:43828:2344:325
losing	6889:43828:1514:338
narrowly	8549:43815:2344:351
to	8238:45586:456:260 11060:43841:456:260
highly	2095:44271:1577:338
regarded	4088:44258:2344:351
franklin	6848:44258:2241:286
&	9525:44271:352:260
marshall	10293:44271:933:260 2095:44701:1203:286
and	3527:44701:954:273
winning	4669:44714:2054:325
against	6931:44701:1909:338
williams.	9047:44701:2448:260
despite	2095:45144:1950:338
loss,	5540:45144:1120:312
played	9815:45131:1680:351
well,	2095:45573:1203:312
proving	3880:45586:1992:338
itself	6433:45573:1265:260
be	9234:45560:560:273
even	10334:45638:1182:208
tougher	2116:46016:1992:338
than	4295:46016:1120:260
expected.	5644:45990:2448:364
"expectations	2677:46446:3735:338
are	6785:46511:830:195
high,"	7989:46433:1597:338
coach	9981:46433:1535:286
steve	2116:46875:1411:273
talbptt	3839:46875:1867:351
remarked,	5997:46862:2718:312
reflecting	9047:46875:2469:338
current	3444:47318:1929:260
mood	5872:47292:1411:286
his	8819:47305:705:273
team.	10064:47318:1431:260
"we're	12534:42487:1846:273
going	14713:42500:1390:338
to	16435:42513:456:247
pull	17224:42500:933:338
some	18490:42565:1348:208
upsets,	20150:42526:1784:325
and	12513:42930:913:273 15252:46394:933:273
we're	13717:42930:1431:273
a	19818:44323:269:182 15398:42995:290:208 14360:45183:269:195
lot	15979:42930:643:286
stronger	16871:42943:2178:338
than	19320:42930:1120:286
most	20731:42956:1224:260
people	12513:43360:1680:351
think."	14401:43360:1805:286
the	18801:46836:954:273 12513:45977:850:273 13053:43802:1016:273 19631:44675:767:273 16414:44662:788:286 16041:45534:767:273
morning	14671:43802:2344:338
match	17597:43802:1722:273
against	19901:43815:2054:338
franklin	12513:44232:2282:273
&	15149:44232:352:273 20108:45104:373:273
marshall	15833:44232:2303:273
