britten's	9535:8312:2224:273
massive	2347:8676:2141:286
1962	10709:15635:1009:260 4757:8728:1009:247
work,	6013:8715:1441:325
war	10689:17821:1009:247 9432:21281:1029:260 7785:8754:1029:234 4366:13918:1009:234
requiem.	9082:8754:2430:312
an	2347:9105:679:273 8711:20461:576:208 2327:15258:597:182
ensemble	3604:9131:2471:273
over	7599:9222:1153:208
400	9288:9183:782:260
students	2327:9547:2183:286
and	4819:9547:926:286 7702:14725:926:312 7496:11278:926:273
new	6322:10432:1132:260 6055:9573:1091:260
haven	7682:10445:1668:260 7455:9586:1647:273
residents	9412:9573:2327:286
will	9391:13008:947:273 2347:9977:906:286 6137:11707:926:286
piece,	6714:10003:1503:325
including	8402:10003:2389:364
(	2368:10419:102:169
;iee	2574:10406:926:273
chorale,	9576:10445:2162:325
philharmonia,	4860:10848:3727:338
trinity	9947:10874:1771:338
church	2327:11265:1853:286
boys'	4386:11278:1379:351 8197:14295:1379:351
choir	5952:11278:1400:286
professional	8608:11291:3109:351
soloists.	2327:11707:2059:273
they	4716:11720:1276:338
be	7249:11707:576:286
led	8011:11629:741:351
by	8938:11707:597:351 2327:15596:597:351
internationally	9700:11720:1812:273 2327:12136:1956:351
known	4839:12149:1627:286
choral	7002:12149:1606:273
conductor	9165:12149:2574:286
robert	2327:12565:1771:286
shaw,	4551:12591:1524:325
longtime	6549:12578:2265:338
friend	9288:12578:1503:273
heath.	2327:12995:1688:286
performance	5807:13008:3357:364
take	10627:13008:1091:273
place	2327:13424:1379:351
in	3913:13437:453:273 2821:21255:514:286 5169:16507:453:273
woolsey	4572:13450:2121:351
hall	6899:13437:1050:286
on	5087:15713:597:208 8155:13515:576:195
april	8938:13437:1318:351
13.	10483:13463:617:247
requiem,	2327:18237:2574:325 5869:13918:2450:286
scored	8835:13866:1668:286
for	5807:20813:720:299 10998:13866:700:286
chorus,	2306:14308:1977:338
orchestra,	4860:14321:2759:325
choir,	10153:14295:1524:351
chamber	2265:14738:2389:286
orchestra	4942:14764:2430:273
soloists,	8938:14738:2038:338
is	9927:18237:370:260 11327:14738:370:273
anti-war	3151:15193:2183:273
tract.	5540:15180:1379:286
it	6322:17808:329:273 7373:15193:370:260
was	7949:15258:988:195
composed	9165:15167:2533:351
britten	3089:15622:1853:286
occasion	6775:15622:2203:273
restoration	2306:16078:3460:273
coventry	8938:16052:2759:351
cathedral	2327:16481:2553:299 2286:20383:2574:286 2286:19525:2471:286
england,	5869:16481:2286:364
according	8444:16481:2553:351
susan	2327:16923:1503:286
williams	4160:16936:2286:286 2450:17795:2286:286
'85,	6796:16936:823:312
who	7908:16923:1029:286
spent	9247:16936:1359:338
there	4613:17365:1359:286
researching	6096:17365:3068:338
work.	10235:17365:1441:273
finds	4922:17795:1215:286
fitting	6817:17808:1544:338
that	8526:17795:1009:273
whose	5499:18237:1627:273
theme	7682:18224:1647:286
devastation	2286:18640:3027:312
war,	6714:18731:1153:260
should	8361:18653:1647:286
have	10483:18666:1194:273
commemorated	2286:19095:4139:286
rebuilding	7764:19095:2636:351
a	8938:19603:267:195 11430:19160:247:208
destroyed	5128:19525:2512:364
by,	8011:19525:679:351
german	9597:19525:2080:286
bomb.	2286:19954:1585:286
since	4695:19967:1379:273
its	6487:19967:597:273
restoration,	7496:19954:2986:338
has	5190:20396:885:273
become	6425:20383:1956:286
international	9659:20383:1771:286 2286:20826:1441:286
center	3954:20852:1627:260
peace.	6734:20891:1585:286
six	3686:21255:720:286
movements,	4778:21281:3130:325
requiem	10833:21281:576:260
requiem	17362:11239:2306:351 16764:20773:2244:299 12707:6920:1544:312 17341:7336:2286:351
superimposes	14519:6920:3563:325
the	21233:20760:782:273 14046:11226:782:273 16867:13398:947:273 18762:12110:762:273 14519:20734:782:273 18350:6920:762:273 18453:8208:782:273 14519:10354:782:286 13654:19876:782:260 15549:18575:782:273 19854:21190:782:273 21295:10380:762:273 13139:16819:967:273 21295:7362:762:286 15570:10796:782:273 21089:17730:926:325 20039:18159:741:273 17609:9508:782:273 21275:11252:762:273 17815:20318:782:273 21316:6933:741:273
text	19380:6946:947:247
of	17053:15987:494:273 16970:19876:473:286 16785:7765:473:273 20595:6933:473:273 20616:20747:473:286 17259:16858:494:273 18989:21177:473:273 20533:10393:453:273
traditional	12686:7310:2718:286
latin	15405:11239:1379:273 15693:7336:1338:273
with	20863:15570:1153:273 14293:10796:1112:273 19915:7375:1112:273
english	12686:7739:1956:351
poetry	14890:7791:1668:312
world	17485:7778:1544:273
war	15529:20760:1029:247 19277:7791:1050:273
i	18577:16000:144:260 20595:7804:164:260
poet	20986:7817:1091:338
wilfred	12686:8182:1915:273
owen.	15055:8195:1524:273
in	20266:11265:432:260 12645:12930:473:273 17506:8208:494:260 16435:9079:453:260 19256:14282:432:260 14149:13385:453:260 21563:16000:453:260
climactic	19648:8234:2389:273
scene,	12686:8689:1585:247
a	19524:8728:288:195 14767:8689:288:208 21707:18666:288:208
german	15529:8624:2121:273
and	18144:8637:926:273 18638:9079:926:273 18350:15557:947:273 12645:12500:947:273
british	20307:8663:1750:273
soldier	12666:9053:1771:273
meet	14787:9092:1276:247
hell	17259:9066:1009:273
confront	19936:9105:2121:260
each	12686:9495:1173:273
other:	14107:9495:1524:273
"i'm	16188:9495:1173:273
stranger	18618:9547:2203:312
that	21048:9521:988:273
you	12686:10003:885:260
killed,	13943:9925:1565:338
my	15879:10016:803:260
friend."	17053:9938:2018:273
williams	19792:9964:2244:273
called	12666:10354:1544:273
emotional	15590:10367:2533:286
impact	18453:10380:1771:351
work,	12686:10783:1400:338
300-voice	16538:10822:2265:260
chorus	18989:10822:1668:273
singing	12686:11213:782:338 20842:10822:967:338
background,	12686:11629:3192:364
"shattering."	16146:11668:3480:351
heath	13201:12084:1524:273
will	14993:12097:926:273 12625:19434:885:260
rehearse	16229:12110:2265:273
choruses	19792:12123:2244:260
make	13881:12513:1421:273
technical	15590:12526:2306:273
arrangements	18371:12552:3645:325
preparation	13284:12969:3068:325
for	14622:18562:720:286 16558:12969:700:273
robert	17444:12969:1750:286
shaw's	12645:14217:1791:299 19359:12982:1791:273
arrival	12666:13359:1194:273 21316:13047:494:208
april.	14890:13398:1441:338
two	18082:13424:885:260
conductors	19256:13411:2780:286
have	12645:13788:1215:273
been	14107:13801:1194:286
planning	15529:13827:2244:351
this	18844:14699:906:286 18000:13840:906:273
event	19133:13866:1400:247
since	20760:13853:1276:260
last	14664:14243:926:286
visit	15837:14256:1091:273
to	18062:17743:453:260 17156:14282:453:260
yale	17856:14269:1173:286
