in	8372:46201:445:282 13227:42902:445:282 10710:47628:445:282 4698:49990:445:282 10042:49054:423:282 2516:42887:534:282
the	2471:46216:1002:282 7370:54716:757:297 7793:57079:734:297 11646:45265:734:297 2471:49054:1002:297 12826:50005:801:297 12804:54746:757:282 10844:53319:757:282 8996:44314:734:282 12804:54270:734:282 7660:49515:757:297 9241:46216:734:282 12559:55206:979:297 2783:47152:757:297 11356:52844:779:282 3072:56157:757:282 12826:51417:779:297 3607:54255:757:282 1915:46691:734:267 3429:42887:757:297 11512:47642:757:282 6056:44789:734:282 2427:52368:1002:282 5077:56618:757:282 10310:47167:757:282 4609:50941:1002:282
future	4564:42887:1514:297
all	6457:42887:601:297
vale	7459:42887:1157:297 12425:52844:1157:282 1915:48103:1135:282
football	8862:57079:1870:297 8996:42887:1892:297
games	3362:48668:1558:267 11289:42991:1536:267
new	1959:43363:1135:297
haven	3496:43363:1692:297
will	3718:53765:912:297 6012:44314:935:282 9931:44789:912:282 6145:55667:935:282 5544:43363:912:282
be	2961:49515:556:297 4943:53780:512:282 7393:55667:556:282 6836:43363:556:297
started	7749:43363:1714:297
on	9129:56232:578:193 5366:47717:556:193 9842:43467:578:193 11779:54345:556:193 8016:55281:601:208 5233:48668:578:178
a	10800:43467:244:193 6123:48668:289:178 8951:55281:267:193
dry	11401:43377:846:341 9530:55206:846:326 8016:51417:846:341
field	12626:43377:1046:297 11089:57094:1024:297 4141:54716:1046:297
for	1937:43838:712:282 11601:51417:757:297
six	3050:43838:734:282 10889:49054:712:282
great	4164:43883:1291:297
spreads	5856:43853:1870:326
of	10599:52844:489:282 5010:55192:489:297 1915:47152:445:282 10087:53304:467:297 8105:43838:489:282 11980:50005:489:282
canvas	11913:53408:1647:208 8974:43927:1647:193 3830:49143:1670:193
have	8884:48103:1135:282 11022:43853:1180:282
been	12559:43853:1113:282 1870:57079:1046:297
ordered	1937:44314:1915:282
which	4186:44314:1491:282
cover	7281:44418:1358:178 1870:54345:1313:193 6145:57183:1336:193
entire	10065:44314:1425:282
playing	5834:55177:1870:356 11824:44329:1848:341 3874:46201:1892:356
surface	6168:46216:1781:282 1937:44789:1781:282 9352:51402:1781:312
within	4075:44774:1603:297
bowl	7148:44789:1202:282 10399:46216:1180:282
and	12737:49530:890:297 1848:56157:846:282 7393:54255:868:267 8706:44804:868:267 8640:50481:890:267 3473:48103:868:282 7036:45265:868:282
protect	11200:44834:1781:312
it	13316:44804:356:267
against	1915:45250:1803:356
rain,	4030:45250:1113:356
snow	5477:45354:1247:193
frost	8216:45250:1157:297
during	8239:47152:1670:356 11980:46216:1692:341 9686:45265:1647:356
season.	12692:45369:734:193 1937:45829:912:178
last	3028:46676:890:282
season	4297:46780:1625:178
was	7704:52457:957:178 6301:46780:912:178
almost	7615:46676:1647:282
perfect	9642:46691:1736:341
because	11735:46691:1915:282
fine	3963:47152:890:297
weather	5544:47152:2004:297
autumn	11757:47211:1892:237
months,	1915:47628:1915:341
but	4208:47628:801:282
many	6301:47717:1358:252
occasions	8016:47628:2338:297
past	12626:47687:1024:297
her	4720:48103:823:282
opponents	5945:48148:2516:297
had	10421:48118:890:282
to	11713:48163:489:237 5344:57138:467:237 13093:53839:467:237
play	12581:48118:1046:341
their	1892:48579:1180:267
wet	6702:48623:890:237
or	7882:48683:512:178
slippery	8751:48579:1959:341
field.	10710:55206:1180:297 11022:48579:1180:297
cover,	5923:49143:1469:252
.coming	7771:49039:1848:356
pieces,	12002:49054:1603:356
can	1870:49604:846:208
removed	3785:49515:2137:297
from	6190:49515:1202:297
field,	8706:49515:1157:341
rolled	10176:49515:1425:297
up	11891:49619:556:252
put	1870:50035:801:297
aside	3050:49990:1247:297
twenty	5522:50035:1736:297
minutes.	7615:49990:2115:297
two	8862:53364:912:222 10421:50005:1157:282 3184:55727:912:237
pieces	1870:50466:1469:341
are	11134:50570:801:193 3629:50570:779:178
90	12202:50481:534:282 4698:50466:534:282
by	5522:50466:556:341 13026:50481:578:341 11980:52368:601:341
150	6413:50451:779:297
feet	7482:50466:890:282
four	9820:50466:1024:282 7415:56143:1046:267
120	1915:50941:779:297
feet.	2983:50941:1024:297
