able	17595:11290:1009:294
to	18897:11348:448:235
reach	19660:11304:1346:279
association's	24665:11304:1144:294 14363:11745:2042:279
office,	16810:11760:1391:338
have	20580:11775:1144:279
been	22106:11760:1077:294
placed	23588:11775:1548:338
on	25540:11878:561:191 25450:21947:583:191
sale	14363:12216:920:279
at	20894:18625:448:220 15575:12260:448:235
arena,	17371:12230:1705:338
they	20513:12245:1032:323
will	21859:12245:897:264 23431:19051:920:279 19346:20419:920:279 14341:14612:920:294
available	23902:12245:2199:294
there	14363:12671:1256:294
until	15867:12686:1122:279
time.	18830:12701:1189:279
seats	21545:12745:1167:235
reserved	24014:12730:2064:264
this	14296:20389:875:294 15463:13142:875:294
game,	15620:20492:1413:264 16697:13245:1436:249
ticket	19638:13156:1369:294
prices	21366:13156:1436:352
$1.00	24867:13186:1234:338
$1.50.	15530:13612:1391:338
palmer,	14363:15656:1952:338
mclennan,	16742:15656:2782:352
rogers	24306:15700:1750:338
luce,	14341:16111:1324:352
jeremiah	23767:16155:2311:338
curtis,	14341:16567:1660:352
heath	24530:16626:1526:279
•	14116:17037:112:396
cady,	14341:17037:1391:352
l.d.	16114:17052:718:294
shea	24867:17096:1189:279
wilson,	14318:17523:1930:338
booma	24306:17552:1750:294
farrel,	14318:17978:1728:352
bott	23767:18022:1077:294
(c)	25226:18022:718:352
afternoon	18067:18552:2379:279
2,	21815:18566:359:338
unbeaten	23834:18581:2199:294
freshman	15979:19007:2513:294 14318:20860:2491:294
hockey	19032:19022:1930:352
meet	24867:19110:1167:235
melrose	14318:19463:2019:294
arena.	20288:19492:1660:294
coach	22690:19507:1526:294
york,	24575:19522:1458:338
1917,	14318:19933:1189:338
practice	17236:19963:1975:323
today	19570:19963:1346:323
preparation	22061:19963:2895:338
third	22780:20448:1234:279
season.	17236:20977:1728:191
yearlings	21231:20904:2311:352
defeated	23969:20904:2064:308
kent	14296:21330:1211:279
last	15822:21330:852:294
saturday	16989:21345:2266:338
2-0	20939:21359:763:294
score,	21994:21462:1413:249
were	24844:21477:1189:191
again	14274:21800:1346:338
victorious	15979:21800:2491:294
choate	23363:21830:1728:294
wednesday,	14318:22271:3007:352
count	21343:22344:1346:235
5-0.	24306:22300:852:294
fine	27560:2058:1930:426
watch	29804:2087:3366:441
repairing	33508:2087:4780:441
ogden	28144:2896:3523:779
&	32251:2925:1032:617
schlick	33844:2925:3837:617
jewelers	31241:3939:3344:352
148	27111:4689:942:264
temple	28391:4674:1975:352
st.	30702:4704:650:264 34293:26064:673:338
next	31712:4704:1234:264
to	33328:37603:516:235 34203:36619:493:205 33238:4748:493:220
olympia	34091:4689:2266:338
theatre	33687:25211:3680:632 36695:4689:2087:264
