it	13142:14600:359:302 8919:28127:359:302
as	1684:15250:539:181
opinion	3706:15129:1864:362
educational	8447:15099:2830:317 1729:26721:1437:302 11907:26207:1347:287
institutions	11705:15083:1572:302 1729:15612:1190:302
thorough	11233:15567:2246:347
accomplish	6807:16066:2740:362
work	11435:16051:1325:287
postgraduate	2763:16580:3257:347
schools.	6313:16565:1932:272
explained	9840:16534:2403:362
university	12536:22353:763:302 1729:28641:966:362 8110:20373:2695:347 11547:28112:1707:302 1729:22882:1752:362 2853:17048:2695:347
cuba	6739:17033:1280:302
supported	9076:17018:2448:362
almost	11862:17003:1640:287
entirely	1684:17532:1999:347
by	9570:28127:584:347 4043:17532:584:347
government.	6155:17517:3212:302
when	2314:18016:1527:287
become	8492:18000:1842:287
dissatisfied	10761:17955:2740:302
with	1707:18499:1145:287
■	2988:18439:134:392
courses,	4380:18575:1977:256
lectures,	7885:18469:2066:347
or	10357:18560:516:196
even	11255:18545:1123:211
professors,	1707:18983:2740:347
band	6739:18953:1190:302
together	8514:18938:2066:362
large	12244:18922:1258:347
groups	1707:19557:1752:256
go	5010:19542:584:256
on	5953:19542:561:181
strike,	6874:19421:1550:347
refusing	8784:19421:2066:347
attend	11974:19406:1527:287
until	1707:19920:1168:302
rectifies	7818:19905:1977:287
cause	11300:19980:1347:196
complaint.	3325:20389:2606:362
been	6470:22867:1123:302 9435:28611:1123:287 9503:23336:1123:287 5189:27674:1123:287 12401:20343:1123:317
practically	1729:20872:2695:377
closed	4695:20872:1527:287
for	6560:20857:718:302 12805:25240:741:287
last	8649:20857:876:287
two	9817:20902:921:241
years	11031:20933:1325:256
due	12671:20842:853:287
such	2538:21356:1078:302
situation.	4493:21341:2291:302
consequence	3212:22021:3055:256
beliefs	2965:22399:1595:302
several	4920:22399:1752:287
radical	10514:22368:1684:302
have	6942:28611:1145:302 5054:22882:1145:302
exiled	7863:22852:1505:302
from	9638:22852:1213:302
country.	1729:23426:898:302 12154:22928:1123:211
one	3280:23366:988:302
these	5369:23351:1280:302
had	8290:23351:898:272
obliged	10941:23321:1797:362
take	1752:23850:1078:302
up	3235:23940:606:256
residence	4246:23835:2314:302
mexico	7885:23819:1864:287
was	10154:23910:943:196
recently	11525:23789:1999:362
assassinated.	1729:24333:3212:287
speaker	3639:24787:1909:377
stated	5863:24787:1482:302
general	8941:24772:1954:302
machalo,	11255:24756:2269:347
