cunning	54309:18649:1676:337
strategy	48767:19048:1922:306
calvin	51119:19017:1369:276
hulk	52939:19017:1124:306
former	54493:19017:1492:276
yale	48808:19416:961:260
bladderball	50035:19416:2433:260
star	52755:19431:961:291
now	54002:19493:817:184
with	55086:19416:899:260
the	48788:19800:613:260
dallas	49626:19800:1349:260
bladderboys	51201:19800:2821:337
charged	54247:19800:1738:337
over	48767:20260:961:199
the	50178:20183:633:260
impenetrable	51282:20183:2862:337
news	54595:20183:1390:276
defense	48767:20582:1758:291
followed	50812:20566:1778:291
by	52877:20566:490:337
the	53654:20582:633:276
wybc	54595:20582:1390:276
fm	48788:20981:715:245
squad	49912:20965:1247:337
and	51548:20965:756:276
several	52632:20996:1594:276
record	54595:20965:1390:276
puntits	48808:21364:1860:337
hulk	50914:21364:1124:291
however	52264:21364:1942:306
left	54431:21349:695:276
the	55352:21364:633:260
ball	48788:21732:756:276
behind	49974:21732:1431:291
him	51794:21732:817:276
as	53000:21809:449:214
he	53900:21747:470:276
raced	54820:21747:1165:276
through	48788:22131:1635:337
phelps	50628:22131:1431:337
gate	52223:22131:1001:260
and	53409:22131:756:276
hurdled	54370:22131:1615:276
city	48788:22530:838:306
hall	49892:22514:858:276
in	50996:22530:368:260
a	51610:22591:224:199
single	52059:22514:1267:322
bound	53573:22514:1369:291
when	49217:23296:1185:260
the	50751:23296:633:260
strategy	51691:23312:1778:322
failed	53818:23296:1206:276
the	55372:23296:613:260
dartmouth	48788:23680:2351:276
gang	51344:23695:1247:322
green	52755:23680:1431:276
jumped	54370:23680:1615:337
on	48767:24155:470:184
top	49463:24094:654:322
of	50301:24079:408:260
the	50914:24079:633:260
ball	51773:24079:777:260
in	52775:24079:347:260
desperation	53368:24048:2515:352
ineffectually	48829:24447:2842:337
but	52387:24431:654:291
the	53389:24462:695:276
news	54534:24462:1451:291
defense	48788:24845:1615:276
held	50751:24845:1001:276
i.m	52100:24861:858:260
homey	53327:24861:1697:322
the	55372:24845:613:276
dartmouth	48808:25244:2351:260
captain	51323:25260:1574:322
said	53102:25260:838:260
after	54145:25244:1022:260
the	55372:25244:613:260
game	48767:25689:1308:276
we	50362:25643:920:260
had	51548:25628:756:291
been	52550:25628:1001:276
practicing	53797:25628:2187:352
the	48788:26026:633:260
move	49912:26103:1165:184
all	51548:26026:511:260
week	52550:26026:1063:260
back	54125:26026:1001:260
in	55638:26026:347:260
hungover	48808:26440:2392:306
it	51855:26425:347:260
should	52796:26410:1513:291
have	54922:26410:1063:276
worked	48788:26809:1697:276
i	50710:26809:122:260
guess	51017:26870:1185:260
the	52407:26793:613:276
guys	53225:26870:981:276
weren't	54370:26809:1615:260
subtle	48767:27207:1288:245
enough	50301:27207:1922:306
dartmouth	49156:27575:2392:276
used	51835:27606:981:245
many	53123:27652:1185:260
of	54595:27575:429:276
the	55311:27575:633:291
regulars	48788:27974:1819:337
from	50853:27974:1022:276
its	52162:27974:490:276
football	52898:27974:1615:276
team	54779:27990:1185:260
big	48808:28388:695:322
green	49872:28388:1308:260
football	51569:28373:1594:276
coach	53552:28373:1226:276
blob	54943:28388:961:260
backman	48808:28756:2024:276
said	51344:28756:981:306
i	52877:28772:408:260
can't	53797:28756:1042:276
un	55372:28833:613:214
derstand	48788:29155:2003:276
we	51058:29155:633:260
had	51916:29155:756:276
the	52918:29155:654:260
best	53797:29155:858:276
team	54922:29170:1063:245
in	48788:29554:347:260
the	49340:29554:633:276
country	50178:29585:1615:306
out	51998:29569:633:260
there	52816:29554:1226:276
we	54247:29569:654:245
lead	55127:29554:858:276
the	48788:29937:633:276
league	49688:29937:1390:337
in	51344:29937:368:276
statistics	51957:29937:2065:276
if	54309:29937:347:276
those	54902:29937:1083:276
pinkos	48788:30336:1369:337
from	50383:30336:981:260
the	51610:30336:633:260
news	52489:30336:1390:260
can	54104:30413:736:184
beat	55086:30336:899:260
vs	48788:30812:572:199
i	49585:30735:102:260
don't	49892:30735:1063:276
know	51180:30720:1083:276
what	52468:30720:1042:276
is	53736:30735:306:260
going	54247:30720:1165:337
to	55617:30750:368:245
happen	48788:31118:1533:322
this	50567:31118:756:260
afternoon	51548:31118:2474:276
a	49217:31532:286:245
number	49688:31517:1656:260
of	51507:31517:388:260
teams	52059:31532:1288:245
which	53532:31517:1247:260
were	54963:31578:1022:199
scheduled	48767:31900:2147:291
to	51262:31931:368:245
compete	51957:31931:1799:322
were	54084:31977:1042:199
in	55495:31900:490:276
conspicuous	48788:32299:2596:322
in	51875:32299:368:276
their	52755:32284:981:291
absence	54022:32253:1962:306
none	48808:32713:1063:245
of	50076:32683:368:276
the	50628:32683:633:276
fraternities	51466:32683:2453:276
fielded	54145:32683:1431:276
a	55781:32759:204:199
team	48788:33112:1431:245
ifc	50526:33081:797:276
president	51773:33081:2085:276
preston	54350:33081:1635:260
prep	48788:33480:1758:337
snigglebottom	51426:33480:3189:352
said	55065:33465:920:276
fielding	48788:33864:1656:337
a	50608:33940:224:184
team	51078:33894:1083:245
proved	52428:33864:1472:337
too	54084:33864:613:276
great	54861:33879:1124:322
a	48767:34339:204:184
problem	49503:34247:1922:352
but	51937:34247:654:276
the	53123:34247:613:276
lack	54247:34247:879:276
of	55617:34232:368:291
representation	48788:34661:3148:337
by	52243:34646:490:337
frats	53041:34646:1001:260
did	54370:34646:654:276
not	55372:34661:613:245
indicate	48788:35045:1717:260
a	50730:35106:224:199
sellout	51201:35045:1513:260
liquor	51160:35566:1410:322
bust	52734:35581:899:260
mary	49258:35949:1145:322
nation	50669:35949:1554:322
famed	52489:35934:1349:306
advocate	54084:35949:1922:291
of	48788:36333:388:276
temperance.staggered	49299:36348:4887:337
onto	54329:36348:899:276
the	55372:36348:633:260
field	48808:36716:920:276
late	49953:36716:797:276
in	50996:36716:368:276
the	51548:36732:633:276
game	52428:36778:1165:276
carrymga	53838:36778:2167:276
vassar	48808:37115:1594:260
beer	50914:37115:1001:276
mug	52448:37176:1124:291
burping	54145:37115:1860:352
profusely	48829:37498:2106:337
miss	51180:37514:981:276
nation	52428:37514:1390:276
yelled	54084:37514:1288:352
to	55638:37544:368:245
the	48808:37882:613:276
crowds	49708:37897:1656:322
give	51671:37897:1267:276
me	53225:37974:674:199
them	54206:37897:1063:276
or	55576:37974:429:214
i'm	48829:38281:654:276
going	49728:38281:1145:337
over	51078:38357:940:199
there	52243:38296:1533:260
newsies	54002:38296:2003:260
suspended	48767:38664:2228:337
competition	51323:38679:2515:337
in	54166:38679:368:276
order	54820:38679:1185:276
to	48788:39078:368:245
pickle	49401:39063:1267:306
miss	50894:39063:981:260
nation	52100:39063:1554:260
jonathan	49197:39446:2147:276
lecher	51998:39446:1492:291
a	54227:39538:224:184
new	55024:39477:940:260
journal	48747:39830:1799:276
representative	50996:39845:3598:322
con	55045:39906:920:214
tacted	48767:40228:1308:276
the	50280:40228:613:260
news	51078:40228:1369:276
after	52612:40228:1042:276
the	53838:40228:633:276
game	54656:40290:1288:291
he	48767:40627:552:260
said	49606:40612:879:276
the	50751:40612:654:276
news	51691:40612:1390:276
coverage	53348:40689:1983:276
of	55597:40612:368:291
the	48747:41011:654:260
game	49544:41072:1329:276
by	51058:41011:490:337
ace	51691:41087:736:184
