succe	28910:28902:1411:210
ssor	30322:28888:1063:210
howard	26557:29269:2271:288
lamar	29401:29269:1964:262
is	31938:29256:429:262
about	23058:29728:1411:288
begin	25411:29715:1370:354
its	27007:29715:593:288
deliberations,	27826:29702:3519:315
but	23365:31409:879:275 31611:29676:757:288
none	23058:30240:1207:223
the'	25186:30162:859:288
senior	26168:30162:1554:288
faculty	24409:31395:1780:354 27949:30135:1800:354
members	29974:30122:2393:288
who	23058:30621:1023:275
are	31365:32800:838:196 24491:30687:818:196
potential	25718:30595:2230:354
candidates	28358:30582:2782:288
say	31529:30647:838:262
that	23058:31067:1023:275 30547:31422:1002:275
want	25575:31067:1268:249
job.	28010:31015:941:367
sources	26353:31487:1923:210
suggest	28460:31435:1923:328
at	31713:31448:491:249
least	22833:31842:1207:275
two	24429:31881:879:249
men	25698:31920:1084:210
—	27007:32012:491:26
berkeley	27723:31855:2291:341
master	30404:31868:1800:275
robin	22833:32275:1493:288
winks	24736:32288:1534:275
ana	26680:32367:900:196
french	28010:32288:1820:275
department	22813:32747:1309:249 30240:32301:1698:341
chairman	24307:32721:2578:288
peter	27069:32734:1411:275
brooks	28665:32721:1780:288
sure	22833:33233:1104:196
seriously	26434:33154:2312:354
consiaerea.	29238:33167:2925:275
several	22833:33600:1923:275
other	25289:33614:1350:262
professors'	27171:33600:2803:341
names	30527:33666:1677:210
often	32961:26119:1268:288
came	34435:26211:1391:196
up	36030:26211:593:275
in	36828:26132:450:275
conversations	37463:26132:3560:275
with	41207:26132:1104:275
various	32961:26565:1902:288
members	35151:26565:2414:275
of	37851:26565:450:288 37238:30516:470:288 32941:27878:491:288
the	32961:30083:797:275 38568:26565:777:288 34680:33102:1145:315 33473:27445:982:275 32961:31829:797:275 41534:28770:777:275 33493:33666:982:262
yale	34107:31829:1186:275 39632:26565:1166:275 34926:33653:1186:275
community.	32961:27012:1964:341 41064:26644:941:210
committee	33964:30083:2762:275 34578:27458:2741:275
is	37483:27445:368:275
accepting	38036:27445:2475:354
letters	40675:27445:1616:275
nomination	33596:27891:2905:275
until	36706:27891:1125:275
monaay	38056:27891:2025:341
ana	38506:31461:920:210 40286:27957:900:196
haa	41391:27891:900:275
receivea	32961:28324:2189:262
about	35519:28311:1411:288
40	37319:28350:491:249
nominations	38199:28324:3130:275
by	41698:28311:593:354 40163:30949:593:354
early	41002:30949:1309:354 32961:28757:1309:341
this	34660:28757:920:275
week,	35928:28757:1473:328
accoraing	37790:28770:2537:341
to	36910:30975:470:262 40695:28783:450:262 38383:30096:470:275
committee's	32961:29203:3171:288
chairman,	36317:29203:2618:315
history	39181:29217:1861:315
professor	41227:29217:818:275 33023:29597:1554:275
jonathan	35028:29610:2352:275
spence.	37851:29623:1923:341
he	40102:29623:757:275
said	41330:29637:982:275
aims	36931:30083:1248:275
give	39059:30083:1063:354
a	40348:30162:245:196 42046:31894:265:210 42046:30595:245:196
short,	40839:30083:1432:315
unrankea	32982:30516:2414:275
list	35928:30516:777:288
"about	38261:30516:1739:288
half	40532:30516:982:288
aozen"	32982:30949:1759:288
names	35007:31028:1657:210
giamatti	37626:30949:2271:288
february	32982:31382:2434:354
so	35621:31461:531:210
that	36337:31395:1002:275
he,	37565:31382:716:341
eventually	39632:31382:2680:354
corporation	35621:31829:3048:341
can	39038:31894:879:210
make	40286:31829:1411:275
decision.	33105:32262:2230:275
dean's	36133:33102:2168:315
duties	38608:33089:2005:328
college	36583:33653:1861:328
aean,	38915:33732:1370:223
whose	40798:33666:1514:275
auties	43089:26132:1514:275
incluae	44808:26132:1861:275
aistributing	46854:26132:2987:354
funas	50046:26145:1370:275
appropriatea	43089:26565:2700:341 51601:26224:531:275
for	43130:34874:818:288 46179:26565:716:288
the	47079:27891:757:275 47263:26578:757:275 44951:37066:757:288 49207:40137:757:262 47345:32695:941:275 50332:37066:777:275 47672:27012:777:275 51601:26592:777:262 51642:41003:736:262 48041:34020:818:262 45872:31829:777:275 51601:28324:777:275 46343:31382:777:288 45115:36186:777:275 45770:28757:757:275 47918:37945:777:275 49330:36186:961:275
college	50537:36173:1841:354 48409:26578:1861:341 47181:27445:1861:354
by	50639:26578:572:341
provost,	43089:27038:2046:315
chairing	45340:27012:2127:341
faculty,	48634:27012:1902:354
sitting	50762:27025:1595:341
ex	43110:27537:552:170
officio	43846:27458:1575:301
on	45586:27523:572:196
all	46363:27445:613:275
committees,	49207:27458:3130:301
ana	43069:27943:900:196 48123:41948:920:210 51458:29715:879:196 48880:37131:941:196 45156:38890:900:210
overseeing	44153:27891:2741:328
central	48000:27891:1800:275
aean's	49964:27891:1616:262
office,	43089:28311:1063:328 51744:27891:429:275
is	44358:28311:388:275 44665:41016:409:275 44685:35753:388:275 52010:37945:368:262 44644:36619:388:275
traaitionally	44951:28311:3171:354
chosen	48286:28337:1698:262
from	50189:28324:1227:275 51192:38811:1186:288 51008:34874:1370:288
ranks	43089:28744:1432:275
of	46977:34007:491:275 44419:33128:491:288 48839:38378:470:275 45688:31382:491:288 44910:28744:470:288
senior	46915:28770:1554:262
professors	48839:28757:2659:354 49759:42316:2618:341
at	51867:28783:491:262
yale.	43069:29190:1329:275
past	44951:29203:1104:262
aeans	46547:29269:1473:196
have	48511:29203:1207:262
incluaea	50230:29203:2127:275
horace	43110:29637:1800:275
taft,	45401:29637:1186:328
georges	47120:29650:2066:341
may,	49698:29650:1268:328
william	43253:30043:1984:288
devane.	45463:30057:2148:275
spence	45933:41896:1780:341 43601:30516:1800:341
saia	45708:30516:1023:288
he	45238:32695:572:275 47038:30516:572:275
was	47918:30595:982:196
encouraging	49187:30516:3171:341
unaergraauates,	43089:30962:4194:328
as	51867:39756:511:196 50107:31028:531:196 47713:31028:531:196 49780:39769:531:196
well	50598:39678:1002:288 48675:30949:1002:275
other	48573:32262:1329:275 51069:42749:1309:275 51048:30949:1329:288
members	43110:31382:2393:275
yale	47345:31382:1125:288
community,	48655:31382:3048:354
to	50619:41029:450:249 44399:36212:450:262 46956:35779:470:249 45524:39717:470:262 44931:31842:450:262 48409:40150:450:262 51928:31422:429:249 45258:42342:450:262 44972:32275:450:262
write	43089:31829:1329:275
committee.	43110:40596:879:262 47141:31829:2884:275 50291:40124:1800:275 46138:36186:2884:275
"we're	50578:31829:1800:275
eager	43089:32327:1432:275
entertain	45831:32262:2312:301
people's	50332:32262:2046:341
views,"	43110:32682:1943:328
saia.	48696:37499:1166:275 45974:32695:1166:275 46997:41449:1186:275
committee	48450:32695:2741:275 48982:37932:2741:288 49432:34007:2946:275
consists	43110:33128:1104:288 51355:32760:777:210
seven	45094:33194:1411:223
faculty	43130:39271:1759:341 46731:33128:1739:354
