emperor	11132:28475:2271:359 9333:30872:2293:359
encounter	28359:48773:2473:254
encourging	59102:12208:4183:359
endeavor	11267:56367:2271:299
endowment	5487:52547:2901:299 3935:51589:3058:299
engages	31755:38766:2248:344
enjoyed	43360:58674:1979:344
enlargement	14505:43485:1214:254 24221:42931:1844:359
enter	18913:29629:1484:359
entering	17429:45312:2114:359
entertainment	42820:30842:3890:284
equal	44574:36130:1304:359
especial	8995:19922:1934:344
especially	1731:51124:2473:374 61576:26184:2608:359
est	5869:38122:697:254 9153:38107:674:254
established	11132:55408:2181:299 1709:55888:562:299
even	52963:10395:1821:434
evening	24333:57326:1934:359 8681:16597:1956:359
evening,	55347:16057:2069:344
evening.	58608:11054:3193:479
event	24918:55468:1349:254 35511:23158:1371:239 37400:37808:1574:284
events	20375:57386:1551:269 34746:15578:1551:239 37130:17960:1574:224 9558:16162:1574:254
ever	30271:29854:1079:209
every	53233:26273:1394:254
evidence	4295:53970:2159:314
evolved	1709:57790:1911:314
ewing,	42977:46136:1799:359
excellent	52828:14649:2518:254 62049:30962:2248:299
exhibition.	29484:49671:2676:299
expected	26920:20297:2159:344 27190:48248:2203:344 57596:23697:2203:359
experimental	41605:28910:3688:434 48150:32730:3463:374
expose©	24333:46331:2046:284
express	10952:49282:1911:269
expressed	23861:44369:2451:344 15967:37763:2496:344
expressionistically	43967:40878:4700:374
extent	8298:48263:1596:269
f.	19228:56397:517:284 42932:23712:494:269
face	30833:32984:2069:629 35061:17436:1012:284 31530:25974:989:284 55909:47379:1034:299
facing	22714:40084:1574:359
fact	59710:27622:944:284
factor	63375:35396:742:299 52535:35890:742:254
faculty	44911:42316:1754:344
famous	1349:13331:2114:284 1664:34737:1799:299
far	19723:42002:742:299 54177:52742:742:299
fastest	30046:23128:1619:284 27932:17930:1619:269
faun	48735:57236:1326:299
favor	4363:56352:1349:299
favorite	5779:31366:2001:314
favorite.	27190:42541:1281:314 38007:42107:742:284
favors	62813:49761:1574:299
feasible	11672:53012:1889:299
features	27055:30243:2001:284
february.	60587:23218:2496:359
ffie*	8748:32715:854:359
figure	5464:13781:1754:344
figures	9625:19443:1709:344
finally,	2181:31861:1934:359
fine	27504:14140:1169:269
first	32655:52038:1034:314 3935:14275:1259:284 58810:17016:1034:269 61666:53206:1012:299 9985:32774:1057:299
five	37175:32984:1731:629 46193:53401:877:299 50849:59618:922:314
follow	35533:12193:2698:344
following	34094:57775:2608:374 42685:37553:2586:359
following:	6769:61131:2676:359
follows:	12616:35156:674:314 1664:35710:1394:284 15315:61625:2091:314 43450:56277:2069:299 62251:36414:2091:374
