man-eating	47271:24205:3855:541
plant	51345:24226:1749:520
in	53341:24226:574:416
little	54216:24247:1831:437
shop	56321:24268:1613:520
of	58153:24268:738:520
horrors	59000:24310:2706:395
at	33546:24830:656:395
stiles	34503:24809:1831:437
dramat	36636:24830:2706:437
this	39588:24851:1257:416
weekend.	41092:24851:3198:416
ydn-tim	58289:22831:2460:291
vasen	60941:22831:1503:291
jana	33546:23414:1640:416
hearn	35433:23414:2105:437
(ronnette),	37839:23435:3909:479
sarah	41994:23476:1995:395
avery	44236:23476:2050:520
condon	46506:23497:2487:416
(chiffon),	49267:23497:3280:499
ward	52794:23539:1859:416
wheeler	54817:23539:2870:458
(orin),	57934:23560:2323:520
and	60477:23580:1230:416
sue	33546:24101:1202:437
park	34995:24101:1695:437
(crystal)	37018:24122:3116:541
with	40409:24143:1449:416
audrey	42131:24164:2487:541
11,	44865:24185:792:479
the	45931:24185:1038:416
man-eating	47271:24205:3855:541
plant	51345:24226:1749:520
in	53341:24226:574:416
little	54216:24247:1831:437
shop	56321:24268:1613:520
of	58153:24268:738:520
horrors	59000:24310:2706:395
at	33546:24830:656:395
stiles	34503:24809:1831:437
dramat	36636:24830:2706:437
this	39588:24851:1257:416
weekend.	41092:24851:3198:416
'song	2652:33809:10170:2853
of	14408:33809:3772:2249
songs'	19767:33809:11482:2853
a	33109:34433:1941:1687
steamy	36526:33934:12412:2541
success	50032:34371:12576:1687
by	4921:37329:1093:354
gardiner	6288:37308:4210:374
harris	10826:37308:2952:374
an	3007:37975:929:437
enactment	4401:37996:3663:416
of	8530:37954:628:458 7819:38683:710:499 15775:38662:710:499
the	4292:38704:1230:395 12303:38683:1202:395 9596:37954:1066:458
old	11127:37933:1175:479
testament	12740:37954:3636:458
book	2296:38641:1585:458
song	5850:38704:1613:499 13861:38683:1585:499
solomon,	8803:38683:3034:458
songs,	2351:39391:2132:499
created	4948:39350:2624:437
by	7983:39329:820:562
ira	9241:39350:984:437
sachs	10635:39329:1968:458
and	13041:39329:1230:458
elsie	14681:39329:1722:458
stern,	17907:37121:2023:499
is	20614:37121:519:437
a	21762:37246:355:312
conglomeration	22747:37142:5386:541
of	28762:37142:601:458
seven	29965:37246:1913:354
distinct	17907:37787:3116:458
scenes	21708:37933:2652:333
which,	25071:37829:2597:541
although	28406:37829:3499:583
sometimes	17907:38516:3718:437
troubled,	22255:38516:3034:520
are	25973:38641:1148:333
surprisingly	27750:38537:4155:562
refreshing.	17907:39204:3745:562
the	46478:41308:1066:437 46533:53765:1038:437 39178:41329:1230:416 42049:61368:1038:437 35788:40600:1038:437 38467:45474:1038:437 37319:44078:1066:458 44619:44078:1038:437 33519:51703:1066:437 36964:38537:1285:416 34777:53077:1038:437 37729:49619:1038:437 33519:50307:1038:458 40026:51682:1038:437 45029:48911:1038:458 36827:42683:1066:458 46451:38516:1066:437 34175:37162:1230:416 39534:54452:1038:437 34148:45474:1312:437 38085:39225:1066:437
song	40819:41329:1613:499 35870:37162:1585:499
of	36991:39225:683:437 42842:41308:683:520 37893:37162:710:499 39096:51682:628:437 35925:42683:628:458 46943:49619:628:437 38604:54452:628:437 36991:59973:601:458 37483:45453:656:458 43772:44078:628:437
songs	38960:37162:1968:499
is	46998:46141:546:458 41366:37142:519:437 45822:62764:546:437
a	47134:42808:355:333 43170:42808:355:333 43361:42120:382:312 38249:62889:382:312 40436:48349:355:333 42322:37246:382:333
biblical	43143:37121:2515:458
love	37784:59993:1394:437 35241:56535:1421:437 46095:37121:1394:458 38604:43391:1421:458
poem	33437:37954:1859:416 39588:39350:1859:437 36007:53182:1859:437
with	35624:37829:1476:437
tender,	37429:37808:2405:541
often	40163:37829:1722:437
luscious	42240:37829:2734:437
sexual	45303:37808:2187:458
imagery.	33464:38516:3062:562
play	38659:38516:1449:562
tries	40518:38537:1531:437
to	34859:57931:628:416 46916:43391:628:437 42432:38558:628:395 36362:63472:628:416
capture	43471:38558:2597:520
sexuality	33437:39225:3116:541
in	41912:39225:628:437 33464:42703:656:437 34175:41308:683:437 44892:52369:628:437 45002:55161:601:437
short,	42951:39204:1941:541
highly	45385:39204:2105:562
charged	33437:39912:2788:541
scenes	36554:40037:2241:333 33574:62181:2269:333
that	44291:62764:1367:458 41229:48911:1367:458 36608:62056:1367:458 39124:39912:1339:437
both	40764:39891:1476:458
arouse	42541:40037:2296:312
and	46314:48203:1230:479 45603:42683:1257:458 33519:53744:1285:458 45139:39912:1230:437 40272:58598:1230:458 46232:46828:1339:458 38604:50973:1257:458 36472:57202:1230:458 41311:46141:1257:458
intrigue	46670:39912:574:437 33464:40600:2050:562
audience.	42322:57223:3226:458 37073:40600:3253:458
producing	35269:41308:3444:562
songs,	43881:41329:2132:499
players	33437:41995:2570:562
have	36253:41995:1640:458 38358:53744:1640:458 39397:57223:1640:437 35651:59285:1640:437
taken	38167:41995:1886:458
on	40327:42120:792:333
quite	41366:41995:1722:562
challenge.	44018:41995:3444:541
two	43498:61410:1202:416 34448:42703:1202:437 40846:54473:1175:416
seven	38167:42808:1941:333 39807:45578:1941:333
scenes,	42049:45557:2487:437 40409:42808:2433:416
man	43799:42808:1531:312
woman	33437:43495:2487:354
make	36308:43391:1913:458
while	37292:56535:1831:437 40381:43391:1831:437
murmering	42596:43391:3909:541
each	33464:44078:1585:458
other	35296:44078:1804:458
beautiful	38659:44078:3034:458
lines	41940:44078:1585:458
