—	50486:61207:846:46
students	21280:51326:3192:429 9359:43899:3040:444 20455:53505:3213:444 51876:18735:2996:429 37566:62404:3192:444 21953:58507:3170:444 26578:36641:3040:444 21475:57049:3148:444 20628:48395:3192:444 17567:62374:3170:444 26861:61207:3344:444
study	14918:36565:2019:583
sturges	33049:34079:2931:583
subject	9467:53597:2605:583 38739:18950:2757:583
subjects	48640:44037:3452:491 8403:40968:2909:552
substitutes	38760:33342:4277:567
suite	45296:62404:1672:429
summary	20129:36795:3365:429
sunday	5928:50405:3061:444
t	26578:26284:760:444 30465:24811:738:444
tacitus	13137:12981:2497:444
tackle	56089:39649:1954:368 55698:37148:1867:383 34873:31133:2410:552 33028:29660:2345:552
taken	55285:15067:1976:444 14939:60195:1954:429
taylor	48640:39035:2128:475
teams	57022:31931:2084:383
ten	62017:55177:1433:429 56110:44022:1672:383
tennis	4538:52845:2475:444
th	14179:14822:694:383
that	57826:26054:1498:460 21671:17492:1476:429 53353:22387:1454:444 56284:23139:1498:429 29836:18934:1498:444 35807:20407:1476:444
the	18370:22617:1411:429 54221:44022:1389:383 4885:22663:1107:429 62408:33358:1107:444 27816:22617:1129:429 11269:22632:1107:429 10227:60870:1150:444 56849:33342:1129:429 2888:51387:1411:429 62386:46400:1129:429 37262:18934:1129:444 54829:46385:1129:429 44341:17492:1150:429 25319:12367:1129:429 46751:16755:1150:444 52484:58123:1107:444 24863:36641:1150:429 2084:58001:1129:414 13984:47582:1129:429 18370:36641:1411:429 8273:19701:1129:429 9098:61622:1107:429 15764:43163:1150:429 31356:36657:1129:429 26144:38084:1150:444 24298:35015:1368:383 13767:46109:1107:444 31117:55791:1411:276 6362:15497:955:352 11964:14853:955:352 21953:62404:1129:414 31312:32176:1150:429 5493:44651:1107:444 62256:61668:1085:429 17523:20423:1129:429 7904:13027:955:368 51442:49316:1107:429 57674:48595:1129:414 46838:15298:1129:444 1910:42472:1433:429 3170:41720:1150:444 5624:21911:1107:444 59454:47137:1107:429 50573:48595:1411:414 33071:16725:1107:429 27447:20407:1150:444 49552:50789:1107:429 58521:52246:1129:444 9945:42426:1129:429 39455:12367:1129:429 60280:55193:1129:429 15830:58001:1150:429 46795:14576:1107:429 8273:59428:1107:429 9728:48334:1129:414 50551:52246:1433:429 46795:13840:1129:429 62234:13640:1150:429 54634:14362:1129:414 52875:13594:1107:429 7708:53581:1411:429 58608:15098:1107:429 2041:55791:2084:429 51268:15052:1129:429 31052:14546:1411:414 23473:17492:1107:429 9228:28494:1085:444 60258:11446:1129:444 56110:12167:1129:429 13549:36565:1085:429 25775:13825:1129:429 55372:12904:1129:429 13658:32882:1433:444 5298:27788:1129:429 56827:19471:1150:429 6861:26299:1129:444 11074:38759:1129:429 62256:18765:1150:429 54438:20929:1129:429 21345:15298:1129:414 3235:39526:1129:444 62321:20223:1107:444 27751:18213:1129:444 48554:17983:1129:429 49400:17246:1433:414 40584:49960:1150:429 50226:18719:1150:429 44298:27496:1150:414 37088:28202:1411:429 58998:18014:1107:429 36936:37930:1389:398 46860:55116:1107:414 38348:55837:1107:429 8403:30703:1172:429 33093:44099:1129:444 46882:55837:1129:429 37219:42626:1150:429 34178:43362:1150:429 27447:16019:1150:429 33093:44851:1107:429 37197:53658:1129:414 33114:52922:1107:429 41323:44835:1129:429 42039:54364:1129:429 46903:54364:1107:444 15460:30673:1454:444 24950:14561:1107:429 40649:51449:1085:414 35916:39680:1150:429 36589:60962:1107:429 33093:40416:1129:429 40649:46308:1129:414 36567:61683:1085:444 33961:38928:1411:429 43603:60947:1129:429 3582:35874:1107:429 33093:41137:1107:444 34113:58768:1129:429 46925:45587:1107:429 39216:58016:1107:429 13788:53612:1085:429 34048:59504:1150:444 8229:35107:1433:429 39694:58752:1064:429 48554:26054:1129:414 49487:31869:1433:414 51203:27512:1129:429 55285:31869:1150:429 57435:25333:1129:429 58260:23139:1129:429 33874:25241:1433:429 51985:26790:1129:429 59867:26821:1150:414 58108:32606:1150:444 36741:21896:1150:429 37305:19686:1107:429 62277:23890:1150:429 33049:22617:1129:429 51919:24581:1129:429 55068:28248:1129:429 15808:39511:1107:429 43516:20423:1107:429
their	8707:45372:1758:429
them	14852:41705:1997:444
then	59585:21681:1585:429
theological	17523:37347:4494:567
these	14744:46845:2149:429 30574:32913:1889:429 61604:22417:1824:444 5993:40984:1845:429
they	59845:26069:1628:583 57239:57387:1932:552 35937:26729:1606:583 59476:58108:1606:567
this	9532:20423:1346:460 36306:27466:1302:444 6362:31440:1368:444 62212:34094:1302:429 3496:38790:1324:444 62104:24612:1346:444 33028:25977:1281:444 3517:60901:1324:429
thomas	17480:31440:2931:429
those	2019:36611:1845:444
three	56849:10081:2584:444 40237:21144:1824:444
tific	33093:18198:1368:429
to	16199:30028:716:352 26709:32989:694:352 7491:30043:694:368 44602:41981:716:352 44102:18305:694:352 61257:61744:694:368 33028:21957:694:352 62733:58185:716:352 45796:15374:716:368 9315:43239:673:352 5016:32253:694:368 48597:56742:673:352
together	13788:35844:3148:567
to-morrow	4907:52200:3778:368 18392:12321:4147:460
total	18370:44590:1954:429 18414:54732:1976:414 18392:49730:2345:444 20194:61207:1693:429 18435:60456:1976:429
trenchard	48619:40263:3300:383
trenton	48662:34064:2909:444
trinity	22018:18934:2670:598 23039:29951:2714:583
tutions	33093:52185:2736:537
twelve	41974:43362:2388:429 48597:59596:2366:429
two	20390:21236:1346:352 1910:47689:1563:444
tyler	40476:14561:2214:583
typical	36893:60210:2518:583 34721:62404:2497:567
u	59606:35751:586:291
un	15743:31562:1172:276
united	17502:26284:2562:444
univ	55437:30228:2149:414
university	2106:58706:4125:567 48510:14300:4234:598 12724:38759:4169:598 11639:34355:4212:598 5254:11431:4277:429 53374:24581:4125:598 59585:32606:3930:613 38044:60947:4147:567 40128:39664:3995:598 25645:62404:4256:598 27642:38084:3973:598 17502:32897:3952:598 35937:25241:3952:598 10379:30673:4125:583
up	56479:21819:890:414 41040:28356:868:429
upon	41800:18366:1715:429
upper	35546:59642:2062:429
upton	61604:40278:1997:475
ure	33180:53812:1064:276
use	59585:18904:1107:291
usual	4798:51403:1824:414
valuable	48554:25317:3061:414
vania	54742:30872:2605:398
various	54330:13610:2627:444 42126:46308:2670:414 42278:49975:2649:429
versary	2779:15620:2345:352
views	52745:15052:2193:552 36198:51449:2041:429 44992:43362:2041:444 43277:45556:2041:444 36893:49960:2019:444 45991:58016:2019:444 44971:44099:2041:444 52701:12152:2062:429
visitors	60714:18014:2714:460
vol	2909:10065:1758:429
voted	33093:20407:1976:429
vs	39216:24351:1064:306 53852:30320:1042:306
w	33093:35537:1085:460
wagenhurst	59672:37163:3930:475
war	55046:49316:1672:429
ward	48640:42135:1780:383
was	36328:13226:1324:291 56132:20346:1324:276 43690:19103:1346:291 2041:24289:1324:306 62104:19640:1346:306 44623:19840:1346:276 12333:35245:1324:291 1976:33818:1346:276 37523:18351:1324:291
washington	2084:53581:4668:567 21454:27021:4885:583
way	33093:45710:1520:444
well	22387:21144:1476:444
wendell	53244:45664:3105:414
were	5993:36733:1715:291
wharton	60736:39020:2822:414
wheeler	48640:37777:2670:383
when	52506:20192:1889:429
where	33028:26729:2171:429 48554:27512:2171:429
which	8555:39495:2149:444 48554:21635:2171:429 59650:31869:2171:444 43516:38943:2193:444 9272:54318:2149:429 57001:58108:2171:429
while	54069:19456:2280:444
who	55372:18735:1476:444 15460:23338:1454:444 4190:36595:1476:429 12811:44636:1454:429
whole	23256:62404:2128:429
will	13658:55070:1324:444 56175:27512:1324:444 10509:57233:1259:429 31160:16725:1324:444 22279:16740:1346:444 38152:26729:1389:429 4104:20453:1389:444 11986:27005:1346:444 62190:31885:1324:429 9033:52139:1346:429 29879:13088:1411:429 42560:28202:1324:444 12051:54333:1368:444 52745:34785:1346:460 11856:60149:1324:429 4560:25594:1368:460
william	17523:25548:3040:429 26861:27021:3040:444 29423:28494:3040:444
williams	60736:40892:2866:398 7839:24826:3517:537 2822:16725:2822:383
winter	37436:41889:2584:552
with	3843:47582:1628:444 25775:18213:1628:444 44602:13840:1650:429 39086:57295:1650:429 13159:33619:1628:444
woodruff	60475:37777:3126:398
wooster	21302:28478:3430:598
work	11443:45372:1997:429 17610:15282:1824:429
works	10271:29199:3105:444
written	48619:58123:2584:444
xviii	5189:10050:2670:444
xxviii	14548:55822:2366:444
yale	55394:44636:1954:398 37262:48502:1628:429 36915:24243:1932:383 2041:25609:1889:537 37718:39664:1737:444 38044:61683:1650:414 60041:15098:1693:444 13028:2639:10987:15 43277:52154:1693:444
yale-harvard	39238:53627:5102:429
year	37523:22770:1758:414
york	45796:25993:2106:521
young	18891:13226:2323:429 23082:15282:2518:583 2041:60317:2301:414 11400:61606:2518:598
