cheapest	42734:25256:2866:460
cheese	34048:14331:3148:475
chicago	42235:52968:2714:383
chiffoniers	51659:58415:7209:506
children's	12247:10771:2453:245
chipel	8121:8991:1585:306
church	28315:52922:2236:383 45687:29215:2280:383 50291:7626:2953:398 44580:35168:2345:398 43385:38160:2345:383 45622:33189:2323:368
city	37892:34677:1194:475 5667:9927:1107:291
class	8881:11707:1368:306 2649:6444:1997:306 4212:47827:1302:306 5406:7687:1433:260 35503:26238:1454:368 3865:10832:1411:276
classes	13376:11078:1910:245 14874:10771:1672:245 13680:8654:2019:260 4733:10526:1693:245
clock	46056:6582:1780:368
clothes	7817:59612:3713:475
cloves	8751:13917:3691:429
clubs	35677:30197:1780:398 33071:27711:1737:383 41214:32192:1802:368
co	36632:2623:2909:951 29010:52446:1281:444 36784:25732:998:368 58434:13733:2149:598 61040:45342:1628:1089 30226:4311:1302:905 60714:43562:1693:491 14309:18443:2649:1795 29358:59811:1889:1074 30596:43746:825:383 14201:32007:1585:797 14288:45403:2236:751 60974:4541:2214:1503
coat	9445:57187:912:245
cobb	54547:24627:2605:337
cocoas	37805:14346:2909:398
college	6601:48886:2584:460
columbus	14700:9559:2345:245 10900:9267:2366:260
complete	51898:60532:2866:567
compulsory	20846:39956:4820:567
conn	13788:8991:1520:245 60301:14776:2214:322 12290:22648:4299:828 5928:10219:1346:260 58890:52446:3952:521
co-op	17588:5662:3886:782 36849:34171:2562:475 13354:38805:3452:1411
cordially	4755:41690:2323:352
corner	33006:26836:1997:260 19695:55515:2041:245
correspondents	33049:48978:4842:444
cost	32984:36733:1194:291 41822:39327:1216:322
couniry	18674:49991:3148:398
county	43299:42933:2214:429 41279:49024:2366:429
court	22843:55423:1845:352
crackers	43016:13871:3800:460 39564:8822:4581:583
criminal	41561:44390:2692:352
crown	30270:47229:2084:368
ct	15873:17170:1129:383
cull	56197:25594:1150:337
custom	6253:16326:1867:276
cut	51919:42073:1454:368 26578:62067:1259:352
d	53483:26115:304:306 27794:27143:629:414 53483:24627:716:291
daily	13680:7656:1216:306
dance	10075:48257:1585:291
dances	10444:8669:2779:276 5081:12045:1628:245
dancing	13159:7042:2106:322 6601:4649:4907:506
day	5776:47827:977:368
de	45492:20269:1064:352
d-e2x-s-e3x	51485:17768:8903:521
deacon	17654:56389:3213:352
dealees	28750:7334:2432:352
debate	23191:37010:2410:444 19239:34048:2366:444 17523:28831:2366:444
delivered	56110:26100:2366:306
democratic	21845:29721:4190:444
dennison	22170:44958:3061:383
dentist	53961:28586:3952:629
depres	29836:30611:2584:567
derstand	33049:51940:2974:429
description	53092:55223:6644:675
desirable	45166:37163:2801:383
desks	58912:57187:3496:491
detective	32984:41889:3061:352
detectives	36459:43393:3278:337 36133:40385:3669:383
diagonally	36089:13103:3886:491
direct	2106:37209:2106:567
discount	39672:34171:2692:368
dissecting	54265:9835:3778:598
do	47272:50988:673:352
doctors	48944:16955:1997:260
dole	33049:25732:1476:368 52766:43562:3126:475
dollar	20064:47198:1845:352
done	54569:16694:1259:260
door	41062:35168:1433:368
drawing	48445:9835:3213:583
dress	33744:29215:1693:368
dunne	17567:45464:2236:414
dxc\_p|9	42756:15635:5168:629
e	48467:4495:1172:1503 4125:45449:1085:583 20911:44958:456:368 8295:9605:586:260 18783:23522:738:352 53895:13242:542:306
e_t	41344:21681:1606:690
each	21432:42580:1129:291 11204:31286:1389:352
east	7448:47198:1476:337
edits	37219:44375:1563:352
eetail	26426:7349:2041:322
ei	19977:18443:1150:414
either	46078:49500:1867:352
elected	17436:35506:2822:444
elegant	33744:31701:2410:475
england	10705:12904:2214:291
engravers	3648:46431:5233:414
